Cat.No,Compound name,Target Class,Primary Target*,Primary Action,Brief Description,Batch,Product Data Sheet,Plate Number,Plate Location
3758,SC 51089,7-TM Receptors,Prostanoid Receptors,Antagonist,Selective EP1 receptor antagonist,1,Datasheet_3758,7,F04
3761,Tolterodine L-tartrate,7-TM Receptors,Non-selective Muscarinics,Antagonist,"Potent, non-selective muscarinic receptor antagonist",1,Datasheet_3761,7,F05
3798,Losartan potassium,7-TM Receptors,Angiotensin AT1 Receptors,Antagonist,"Selective, non-peptide AT1 antagonist",3,Datasheet_3798,7,G02
3815,R 568 hydrochloride,7-TM Receptors,Calcium-Sensing Receptor,Modulator,Positive allosteric modulator of human calcium-sensing receptor (CaSR),1,Datasheet_3815,7,G05
3866,SKF 86466 hydrochloride,7-TM Receptors,Adrenergic Alpha-2 Receptors,Antagonist,Potent and selective α2 antagonist,1,Datasheet_3866,7,H08
3887,PG 01037 dihydrochloride,7-TM Receptors,D3 Receptors,Antagonist,Selective D3 antagonist,2,Datasheet_3887,8,A03
3896,Rotigotine hydrochloride,7-TM Receptors,D2 Receptors,Agonist,D2 and D3 agonist,3,Datasheet_3896,8,A06
3898,SF 11,7-TM Receptors,NPY Receptors,Antagonist,NPY Y2 receptor antagonist,1,Datasheet_3898,8,A07
3904,WAY 208466 dihydrochloride,7-TM Receptors,5-HT6 Receptors,Agonist,Selective 5-HT6 agonist,4,Datasheet_3904,8,A09
3924,OPC 21268,7-TM Receptors,Vasopressin Receptors,Antagonist,Orally active vasopressin V1 antagonist,1,Datasheet_3924,8,B07
3937,ANR 94,7-TM Receptors,Adenosine A2A Receptors,Antagonist,Adenosine A2A antagonist,1,Datasheet_3937,8,B08
3948,Terfenadine,7-TM Receptors,Histamine H1 Receptors,Antagonist,H1 antagonist. Also KV11.1 (hERG) and Kir6 (KATP) channel blocker,1,Datasheet_3948,8,B11
3959,YIL 781,7-TM Receptors,Ghrelin Receptors,Antagonist,Ghrelin receptor (GHS-R1a) antagonist,3,Datasheet_3959,8,C02
3986,SR 58611A hydrochloride,7-TM Receptors,Adrenergic Beta-3 Receptors,Agonist,β3 agonist; displays anxiolytic and antidepressant effects,1,Datasheet_3986,8,C09
4012,SR 140333,7-TM Receptors,NK1 Receptor,Antagonist,Potent NK1 antagonist,1,Datasheet_4012,8,D05
4013,L 760735,7-TM Receptors,NK1 Receptor,Antagonist,High affinity NK1 antagonist,1,Datasheet_4013,8,D06
4021,JNJ 7777120,7-TM Receptors,Histamine H4 Receptors,Antagonist,Selective H4 antagonist,2,Datasheet_4021,8,D07
4048,BINA,7-TM Receptors,Glutamate (Metabotropic) Group II Receptors,Modulator,Selective positive allosteric modulator of mGlu2 receptors,2,Datasheet_4048,8,D10
4053,BMS 470539 dihydrochloride,7-TM Receptors,Melanocortin Receptors,Agonist,"Potent, selective MC1 receptor agonist",1,Datasheet_4053,8,D11
4057,Flupenthixol dihydrochloride,7-TM Receptors,Non-selective Dopamine,Antagonist,Dopamine antagonist,2,Datasheet_4057,8,E03
4081,LY 266097 hydrochloride,7-TM Receptors,5-HT2B Receptors,Antagonist,Selective 5-HT2B antagonist,1,Datasheet_4081,8,E06
4085,Nalmefene hydrochloride,7-TM Receptors,Miscellaneous/Non-selective Opioids,Antagonist,Opioid receptor antagonist,2,Datasheet_4085,8,E08
4134,NPS 2390,7-TM Receptors,Glutamate (Metabotropic) Group I Receptors,Antagonist,Group I mGlu antagonist,1,Datasheet_4134,8,F11
4167,KW 3902,7-TM Receptors,Adenosine A1 Receptors,Antagonist,Selective A1 antagonist,1,Datasheet_4167,8,G08
4173,MDL 100907,7-TM Receptors,5-HT2A Receptors,Antagonist,Potent and selective 5-HT2A antagonist,3,Datasheet_4173,8,G10
4174,Pramipexole dihydrochloride,7-TM Receptors,D3 Receptors,Agonist,Selective D3 agonist,1,Datasheet_4174,8,G11
4179,AMD 3465 hexahydrobromide,7-TM Receptors,Chemokine CXC Receptors,Antagonist,Potent and selective CXCR4 antagonist,2,Datasheet_4179,8,H02
4185,Sonepiprazole,7-TM Receptors,D4 Receptors,Antagonist,Selective D4 antagonist,1,Datasheet_4185,8,H04
4216,Valsartan,7-TM Receptors,Angiotensin AT1 Receptors,Antagonist,"High affinity, selective AT1 antagonist",1,Datasheet_4216,9,A02
4220,XCC,7-TM Receptors,Non-selective Adenosine,Antagonist,Adenosine receptor antagonist,1,Datasheet_4220,9,A03
4236,CP 945598 hydrochloride,7-TM Receptors,CB1 Receptors,Antagonist,CB1 antagonist,1,Datasheet_4236,9,A06
4255,TC-O 9311,7-TM Receptors,Orphan 7-TM Receptors,Agonist,Potent and selective GPR139 agonist,1,Datasheet_4255,9,A09
4268,Ro 1138452 hydrochloride,7-TM Receptors,Prostanoid Receptors,Antagonist,Selective prostacyclin IP receptor antagonist,1,Datasheet_4268,9,B03
4289,RP 001 hydrochloride,7-TM Receptors,Sphingosine-1-phosphate Receptors,Agonist,Potent S1P1 agonist,1,Datasheet_4289,9,B09
4293,CID 2745687,7-TM Receptors,GPR35,Antagonist,GPR35 antagonist,1,Datasheet_4293,9,B10
4306,INCB 3284 dimesylate,7-TM Receptors,Chemokine CC Receptors,Antagonist,Selective CCR2 antagonist,2,Datasheet_4306,9,C04
4317,JNJ 10397049,7-TM Receptors,OX2 Receptor,Antagonist,Selective OX2 receptor antagonist,1,Datasheet_4317,9,C08
4323,VU 0360172 hydrochloride,7-TM Receptors,Glutamate (Metabotropic) Group I Receptors,Modulator,Positive allosteric modulator of mGlu5 receptors,3,Datasheet_4323,9,C10
4334,PSB 0777 ammonium salt,7-TM Receptors,Adenosine A2A Receptors,Agonist,Potent adenosine A2A agonist,2,Datasheet_4334,9,D02
4346,Ro 67-7476,7-TM Receptors,Glutamate (Metabotropic) Group I Receptors,Modulator,Positive allosteric modulator of mGlu1 receptors,1,Datasheet_4346,9,D06
4349,Olanzapine,7-TM Receptors,5-HT2A Receptors,Antagonist, 5-HT2A antagonist; also D2 antagonist; atypical antipsychotic,2,Datasheet_4349,9,D07
4374,BIMU 8,7-TM Receptors,5-HT4 Receptors,Agonist,Potent 5-HT4 agonist,4,Datasheet_4374,9,E03
4387,Calhex 231 hydrochloride,7-TM Receptors,Calcium-Sensing Receptor,Modulator,Negative allosteric modulator of calcium-sensing receptor (CaSR),1,Datasheet_4387,9,E06
4388,MNI 137,7-TM Receptors,Glutamate (Metabotropic) Group II Receptors,Modulator,Selective negative allosteric modulator of group II mGlu receptors,1,Datasheet_4388,9,E07
4407,TC-G 1004,7-TM Receptors,Adenosine A2A Receptors,Antagonist,Potent and selective A2A antagonist,1,Datasheet_4407,9,E10
4416,ADX 10059 hydrochloride,7-TM Receptors,Glutamate (Metabotropic) Group I Receptors,Modulator,Negative allosteric modulator of mGlu5 receptors,1,Datasheet_4416,9,F02
4457,YE 120,7-TM Receptors,GPR35,Agonist,GPR35 agonist,1,Datasheet_4457,9,G06
4470,EMD 281014 hydrochloride,7-TM Receptors,5-HT2A Receptors,Antagonist,Selective 5-HT2A antagonist,1,Datasheet_4470,9,H02
4472,BAY 60-6583,7-TM Receptors,Adenosine A2B Receptors,Agonist,Potent A2B agonist; cardioprotective,4,Datasheet_4472,9,H03
4478,GPBAR-A,7-TM Receptors,GPBA Receptors,Agonist,GPBA receptor (TGR5) agonist,1,Datasheet_4478,9,H05
4487,(+/-)-AMG 487,7-TM Receptors,Chemokine CXC Receptors,Antagonist,CXCR3 antagonist; inhibits cell migration and metastasis,2,Datasheet_4487,9,H10
4510,SHA 68,7-TM Receptors,Neuropeptide S Receptors,Antagonist,Selective Neuropeptide S receptor antagonist,1,Datasheet_4510,10,A06
4518,EPPTB,7-TM Receptors,Trace Amine 1 Receptor,Antagonist,Trace amine 1 (TA1)  receptor antagonist/inverse agonist,1,Datasheet_4518,10,A10
4551,Purmorphamine,7-TM Receptors,Smoothened Receptors,Agonist,Smo receptor agonist,4,Datasheet_4551,10,B07
4552,A 412997 dihydrochloride,7-TM Receptors,D4 Receptors,Agonist,Selective D4 agonist,1,Datasheet_4552,10,B08
4601,TUG 891,7-TM Receptors,Free Fatty Acid Receptors,Agonist,Potent and selective FFA4 (GPR120) agonist,2,Datasheet_4601,10,C07
4603,LUF 5834,7-TM Receptors,Adenosine A2A Receptors,Agonist,Potent adenosine A2A and A2B receptor partial agonist,1,Datasheet_4603,10,C09
4613,Tegaserod maleate,7-TM Receptors,5-HT4 Receptors,Agonist,5-HT4 partial agonist,1,Datasheet_4613,10,D03
4616,Olmesartan,7-TM Receptors,Angiotensin AT1 Receptors,Antagonist,Potent AT1 antagonist,1,Datasheet_4616,10,D04
4622,MK 1903,7-TM Receptors,Hydroxycarboxylic Acid Receptors,Agonist,Potent and selective GPR109A (HCA2) agonist,2,Datasheet_4622,10,D06
4624,TC-FPR 43,7-TM Receptors,Formyl Peptide Receptors,Agonist,Potent FPR2 agonist,1,Datasheet_4624,10,D07
4625,TC OT 39,7-TM Receptors,Oxytocin Receptors,Agonist,Potent non-peptide oxytocin receptor partial agonist; also V1a receptor antagonist,1,Datasheet_4625,10,D08
4642,4-CMTB,7-TM Receptors,Free Fatty Acid Receptors,Agonist,FFA2 agonist; also exhibits positive allosteric modulatory activity,1,Datasheet_4642,10,E03
4647,GR 203040,7-TM Receptors,NK1 Receptor,Antagonist,Potent and selective NK1 antagonist,1,Datasheet_4647,10,E04
4657,Zolmitriptan,7-TM Receptors,5-HT1D Receptors,Agonist,Potent 5-HT1B/1D/1F agonist,1,Datasheet_4657,10,E08
4668,GW 627368,7-TM Receptors,Prostanoid Receptors,Antagonist,Selective EP4 receptor competitive antagonist,1,Datasheet_4668,10,E11
4677,CYM 50260,7-TM Receptors,Sphingosine-1-phosphate Receptors,Agonist,Potent and selective S1P4 agonist,1,Datasheet_4677,10,F02
4708,TC LPA5 4,7-TM Receptors,Lysophosphatidic Acid Receptors,Antagonist,LPA5 receptor antagonist,1,Datasheet_4708,10,F06
4712,Salmeterol xinafoate,7-TM Receptors,Adrenergic Beta-2 Receptors,Agonist,Long-acting β2 agonist; bronchodilator,1,Datasheet_4712,10,F07
4735,Quetiapine hemifumarate,7-TM Receptors,Non-selective 5-HT2,Antagonist,5-HT2 antagonist; also D2 antagonist; atypical antipsychotic,1,Datasheet_4735,10,G03
4778,BETP,7-TM Receptors,Glucagon-Like Peptide 1 Receptors,Modulator,Positive allosteric modulator of GLP-1 receptors,1,Datasheet_4778,10,H05
4780,VUF 11207 fumarate,7-TM Receptors,Chemokine CXC Receptors,Agonist,Potent ACKR3 (CXCR7) agonist,1,Datasheet_4780,10,H06
4791,Candesartan,7-TM Receptors,Angiotensin AT1 Receptors,Antagonist,AT1 antagonist,1,Datasheet_4791,10,H11
4818,PF 04418948,7-TM Receptors,Prostanoid Receptors,Antagonist,Potent and selective EP2 receptor antagonist,1,Datasheet_4818,11,A07
4854,ML 00253764 hydrochloride,7-TM Receptors,Melanocortin Receptors,Antagonist,Melanocortin MC4 receptor antagonist; brain penetrant,2,Datasheet_4854,11,B06
4862,PPTN hydrochloride,7-TM Receptors,Purinergic P2Y Receptors,Antagonist,High affinity and selective P2Y14 antagonist,1,Datasheet_4862,11,B08
4870,H2L 5765834,7-TM Receptors,Lysophosphatidic Acid Receptors,Antagonist,"LPA1,3,5 antagonist",1,Datasheet_4870,11,C02
4897,CYM 5541,7-TM Receptors,Sphingosine-1-phosphate Receptors,Agonist,Selective S1P3 receptor allosteric agonist,1,Datasheet_4897,11,C10
4959,CID 16020046,7-TM Receptors,GPR55,Antagonist,Selective GPR55 antagonist,2,Datasheet_4959,11,D11
4982,ML 337,7-TM Receptors,Glutamate (Metabotropic) Group II Receptors,Modulator,Selective negative allosteric modulator of mGlu3 receptors,1,Datasheet_4982,11,E09
5041,PAOPA,7-TM Receptors,D2 Receptors,Modulator,Allosteric modulator of D2 receptors,1,Datasheet_5041,11,F08
5080,TC-G 1003,7-TM Receptors,Somatostatin Receptors,Agonist,High affinity somatostatin sst2 agonist,1,Datasheet_5080,11,G11
5087,TC NTR1 17,7-TM Receptors,Neurotensin Receptors,Partial Agonist,Selective NTS1 partial agonist,1,Datasheet_5087,11,H05
5096,AdipoRon hydrochloride,7-TM Receptors,Other Peptide Receptors,Other,Orally active AdipoR1 and AdipoR2 agonist; antidiabetic,1,Datasheet_5096,11,H08
5129,TC-G 1005,7-TM Receptors,GPBA Receptors,Agonist,Potent and selective GPBA receptor (TGR5) agonist,2,Datasheet_5129,12,A04
5160,Medetomidine hydrochloride,7-TM Receptors,Adrenergic Alpha-2 Receptors,Agonist,Potent and highly selective α2 agonist,1,Datasheet_5160,12,A11
5181,Tolvaptan,7-TM Receptors,Vasopressin Receptors,Antagonist,Potent and selective vasopressin V2 receptor antagonist; renoprotective and orally active,1,Datasheet_5181,12,B06
5256,AH 7614,7-TM Receptors,Free Fatty Acid Receptors,Antagonist,Selective FFA4 (GPR120) antagonist,1,Datasheet_5256,12,C07
5257,GSK 137647,7-TM Receptors,Free Fatty Acid Receptors,Agonist,Potent and selective FFA4 (GPR120) agonist,1,Datasheet_5257,12,C08
5262,PF 5274857 hydrochloride,7-TM Receptors,Smoothened Receptors,Antagonist,High affinity and selective Smoothened (Smo) receptor antagonist,1,Datasheet_5262,12,C11
5272,MK 0677,7-TM Receptors,Ghrelin Receptors,Agonist,High affinity ghrelin receptor agonist,1,Datasheet_5272,12,D07
5316,Elinogrel,7-TM Receptors,Purinergic P2Y Receptors,Antagonist,P2Y12 antagonist,1,Datasheet_5316,12,E11
5321,PSNCBAM-1,7-TM Receptors,CB1 Receptors,Modulator,Negative allosteric modulator of CB1 receptors,1,Datasheet_5321,12,F03
5322,VU 0409106,7-TM Receptors,Glutamate (Metabotropic) Group I Receptors,Modulator,Potent and selective negative allosteric modulator of mGlu5 receptors,1,Datasheet_5322,12,F04
5327,BGC 20-1531 hydrochloride,7-TM Receptors,Prostanoid Receptors,Antagonist,High affinity and selective EP4 antagonist,1,Datasheet_5327,12,F08
5328,TY 52156,7-TM Receptors,Sphingosine-1-phosphate Receptors,Antagonist,S1P3 receptor antagonist,2,Datasheet_5328,12,F09
5355,TC-G 1008,7-TM Receptors,Orphan 7-TM Receptors,Agonist,Potent and selective GPR39 agonist,3,Datasheet_5355,12,G07
5357,DC 260126,7-TM Receptors,Free Fatty Acid Receptors,Antagonist,FFA1 (GPR40) antagonist,1,Datasheet_5357,12,G09
5362,TASP 0433864,7-TM Receptors,Glutamate (Metabotropic) Group II Receptors,Modulator,Selective positive allosteric modulator of mGlu2 receptors,1,Datasheet_5362,12,H02
5406,ONO 8130,7-TM Receptors,Prostanoid Receptors,Antagonist,EP1 receptor antagonist,1,Datasheet_5406,12,H10
5438,NTRC 824,7-TM Receptors,Neurotensin Receptors,Antagonist,Potent and selective non-peptide NTS2 antagonist,1,Datasheet_5438,13,A09
5443,AM 6545,7-TM Receptors,CB1 Receptors,Antagonist,High affinity and selective CB1 antagonist,2,Datasheet_5443,13,A10
5584,Aripiprazole,7-TM Receptors,D2 Receptors,Agonist,High affinity D2 and 5-HT1A receptor partial agonist; also 5-HT2A antagonist,1,Datasheet_5584,13,C06
5589,WAY 181187 oxalate,7-TM Receptors,5-HT6 Receptors,Agonist,High affinity and selective 5-HT6 agonist,2,Datasheet_5589,13,C09
5614,AZD 2066,7-TM Receptors,Glutamate (Metabotropic) Group I Receptors,Antagonist,mGlu5 antagonist; orally bioavailable and brain penetrant,1,Datasheet_5614,13,D05
5621,GLPG 0974,7-TM Receptors,Free Fatty Acid Receptors,Antagonist,Potent FFA2 antagonist,2,Datasheet_5621,13,D08
5666,JNJ 63533054,7-TM Receptors,Orphan 7-TM Receptors,Agonist,Potent and selective GPR139 agonist,1,Datasheet_5666,13,E10
5671,SB 332235,7-TM Receptors,Chemokine CXC Receptors,Antagonist,Potent CXCR2 antagonist,1,Datasheet_5671,13,E11
5693,VU 0409551,7-TM Receptors,Glutamate (Metabotropic) Group I Receptors,Modulator,Selective positive allosteric modulator of mGlu5 receptors; brain penetrant and orally bioavailable,1,Datasheet_5693,13,F09
5715,(+/-)-ADX 71743,7-TM Receptors,Glutamate (Metabotropic) Group III Receptors,Modulator,Negative allosteric modulator of mGlu7 receptors; brain penetrant,2,Datasheet_5715,13,G05
5722,Ogerin,7-TM Receptors,Orphan 7-TM Receptors,Modulator,Selective positive allosteric modulator at GPR68,2,Datasheet_5722,13,G06
5729,TASP 0390325,7-TM Receptors,Vasopressin Receptors,Antagonist,Potent and selective V1B receptor antagonist; orally bioavailable,1,Datasheet_5729,13,G07
5730,A 127722,7-TM Receptors,Endothelin ETA Receptors,Antagonist,"Highly potent, selective ETA antagonist; orally bioavailable",1,Datasheet_5730,13,G08
5815,SCH 336,7-TM Receptors,CB2 Receptors,Inverse Agonist,Highly potent and selective CB2 inverse agonist,1,Datasheet_5815,14,A05
5826,LEI 101 hydrochloride,7-TM Receptors,CB2 Receptors,Agonist,Potent and selective CB2 partial agonist; orally biovailable,1,Datasheet_5826,14,A06
5828,Ambrisentan,7-TM Receptors,Endothelin ETA Receptors,Antagonist,Selective ETA antagonist,1,Datasheet_5828,14,A07
5833,Ex 26,7-TM Receptors,Sphingosine-1-phosphate Receptors,Antagonist,Potent and selective S1P1 receptor antagonist,1,Datasheet_5833,14,A09
5872,AZ 10397767,7-TM Receptors,Chemokine CXC Receptors,Antagonist,Potent CXCR2 antagonist,1,Datasheet_5872,14,B08
5902,Tiotropium bromide,7-TM Receptors,Non-selective Muscarinics,Antagonist,Potent muscarinic receptor antagonist,2,Datasheet_5902,14,B09
5904,Montelukast sodium,7-TM Receptors,Leukotriene and Related Receptors,Antagonist,CysLT1 and GPR17 antagonist,1,Datasheet_5904,14,B10
5913,Ro 6842262,7-TM Receptors,Lysophosphatidic Acid Receptors,Antagonist,Potent LPA1 antagonist,1,Datasheet_5913,14,C02
5943,ML 339,7-TM Receptors,Chemokine CXC Receptors,Antagonist,Potent and selective hCXCR6 antagonist,1,Datasheet_5943,14,C09
5983,BMS 986187,7-TM Receptors,Delta Opioid Receptors,Modulator,Potent positive allosteric modulator of δ receptor,1,Datasheet_5983,14,D05
6082,AMG 837 hemicalcium salt,7-TM Receptors,Free Fatty Acid Receptors,Agonist,Potent free fatty acid receptor 1 (FFA1/GPR40) partial agonist,1,Datasheet_6082,14,F05
6085,AZD 1283,7-TM Receptors,Purinergic P2Y Receptors,Antagonist,High affinity P2Y12 antagonist,1,Datasheet_6085,14,F06
6116,BHPI,7-TM Receptors,Estrogen (GPER) Receptors,Antagonist,ERα antagonist; also activates unfolded protein response; active in vivo,1,Datasheet_6116,14,G04
6137,"8-Cyclopentyl-1,3-dimethylxanthine",7-TM Receptors,Adenosine A1 Receptors,Antagonist,High affinity adenosine A1 receptor antagonist,1,Datasheet_6137,14,G07
6163,AR 420626,7-TM Receptors,Free Fatty Acid Receptors,Agonist,FFA3 agonist,1,Datasheet_6163,14,H02
6165,AC 265347,7-TM Receptors,Calcium-Sensing Receptor,Modulator,Biased allosteric modulator of calcium-sensing receptor (CaSR),1,Datasheet_6165,14,H04
6170,Cinacalcet hydrochloride,7-TM Receptors,Calcium-Sensing Receptor,Agonist,Allosteric Calcium-sensing receptor (CaSR) agonist; also CYP2D2 inhibitor and Ca2+ channel blocker; orally bioavailable,1,Datasheet_6170,14,H05
6171,MLS 1547,7-TM Receptors,D2 Receptors,Agonist,G protein-biased D2 partial agonist,1,Datasheet_6171,14,H06
6176,FTY 720,7-TM Receptors,Sphingosine-1-phosphate Receptors,Agonist,Potent S1P receptor agonist; also immunosuppressant,1,Datasheet_6176,14,H08
6193,AM 4113,7-TM Receptors,CB1 Receptors,Antagonist,High affinity and selective CB1 antagonist,1,Datasheet_6193,14,H11
6195,SSR 149415,7-TM Receptors,Vasopressin Receptors,Antagonist,Potent and selective vasopressin V1B antagonist,1,Datasheet_6195,15,A03
6201,J 2156,7-TM Receptors,Somatostatin Receptors,Agonist,Selective high affinity human sst4 agonist,1,Datasheet_6201,15,A06
6202,Vilazodone hydrochloride,7-TM Receptors,5-HT1A Receptors,Agonist,Potent 5-HT1A partial agonist and SSRI; antidepressant,1,Datasheet_6202,15,A07
6219,Arformoterol tartrate,7-TM Receptors,Adrenergic Beta-2 Receptors,Agonist,Long-acting β2 agonist (LABA),1,Datasheet_6219,15,A10
6232,Bosentan,7-TM Receptors,Non-selective Endothelin,Antagonist,High affinity dual ETA and ETB receptor antagonist;orally bioavailable,1,Datasheet_6232,15,B04
6279,JNJ 39758979 dihydrochloride,7-TM Receptors,Histamine H4 Receptors,Antagonist,High affinity and selective histamine H4 antagonist; orally bioavailable,1,Datasheet_6279,15,C06
6298,MS 21570,7-TM Receptors,GPR171,Antagonist,GPR171 antagonist,1,Datasheet_6298,15,D02
6299,MS 15203,7-TM Receptors,GPR171,Agonist,Potent and selective GPR171 partial agonist,1,Datasheet_6299,15,D03
6336,Trazodone hydrochloride,7-TM Receptors,5-HT2A Receptors,Antagonist,5-HT2A and α1 adrenoceptor antagonist; also enhances neural differentiation; antidepressant and neuroprotectant,1,Datasheet_6336,15,D10
6347,PF 04628935,7-TM Receptors,Ghrelin Receptors,Inverse Agonist,Potent ghrelin receptor inverse agonist,1,Datasheet_6347,15,E06
6351,(R)-ZINC 3573,7-TM Receptors,Mas-related G Protein-Coupled Receptors,Agonist,MRGPRX2 agonist,1,Datasheet_6351,15,E08
6411,tBPC,7-TM Receptors,NPY Receptors,Modulator,Positive allosteric modulator of NPY Y4 receptor,1,Datasheet_6411,15,F11
6431,Phentolamine Mesylate,7-TM Receptors,Non-selective Adrenergic Alpha Receptors,Antagonist,Adrenergic α receptor antagonist; antihypertensive,1,Datasheet_6431,15,G03
6486,Aprepitant,7-TM Receptors,NK1 Receptor,Antagonist,Potent long-acting hNK1 antagonist,1,Datasheet_6486,15,H02
6538,PF 04449913 maleate,7-TM Receptors,Smoothened Receptors,Antagonist,Potent Smo antagonist,1,Datasheet_6538,16,A05
6541,AZD 2098,7-TM Receptors,Chemokine CC Receptors,Antagonist,Potent and selective CCR4 antagonist,1,Datasheet_6541,16,A07
6544,CID 1375606,7-TM Receptors,Orphan 7-TM Receptors,Agonist,GPR27 agonist,1,Datasheet_6544,16,A09
6657,PA 8,7-TM Receptors,PACAP Receptors,Antagonist,PAC1 receptor antagonist,1,Datasheet_6657,16,C09
6663,Silodosin,7-TM Receptors,Adrenergic Alpha-1 Receptors,Antagonist,Selective α1A antagonist,1,Datasheet_6663,16,C11
6668,ML 184,7-TM Receptors,GPR55,Agonist,Selective GPR55 agonist; also promotes NSC proliferation and differentiation,1,Datasheet_6668,16,D02
6709,GSK 2018682,7-TM Receptors,Sphingosine-1-phosphate Receptors,Agonist,S1P1 and S1P5 agonist,1,Datasheet_6709,16,D08
6777,TAK 375,7-TM Receptors,Melatonin (MT) Receptors,Agonist,Very high affinity and selective melatonin receptor agonist,1,Datasheet_6777,16,F04
6784,FTBMT,7-TM Receptors,Orphan 7-TM Receptors,Agonist,Potent and selective GPR52 agonist; orally bioavailable and BBB permeable,1,Datasheet_6784,16,F05
6787,KI-7,7-TM Receptors,Adenosine A2B Receptors,Modulator,Positive allosteric modulator of A2B receptors,1,Datasheet_6787,16,F06
6830,Conivaptan hydrochloride,7-TM Receptors,Vasopressin Receptors,Antagonist,Very high affinity vasopressin V1A and V2 antagonist; orally bioavailable,1,Datasheet_6830,16,G04
6859,FITM,7-TM Receptors,Glutamate (Metabotropic) Group I Receptors,Modulator,Potent and selective negative allosteric modulator of mGlu1 receptors,1,Datasheet_6859,16,G06
6893,VU 6005649,7-TM Receptors,Glutamate (Metabotropic) Group III Receptors,Modulator,Positive allosteric modulators of mGlu7 and mGlu8 receptors; also NK1 antagonist; brain penetrant,1,Datasheet_6893,16,H03
7027,LY 2033298,7-TM Receptors,M4 Receptors,Modulator,Selective positive allosteric modulator of M4 receptors; active in vivo; antipsychotic,1,Datasheet_7027,16,H11
0357,N-Acetyltryptamine,Enzymes,Other Transferases,Substrate,Substrate for serotonin N-acetyl transferase,2,Datasheet_0357,1,A07
0415,Ro 20-1724,Enzymes,Phosphodiesterases,Inhibitor,PDE4 inhibitor,4,Datasheet_0415,1,A10
0431,ML 9 hydrochloride,Enzymes,Myosin Light Chain Kinase,Inhibitor,Myosin light chain kinase inhibitor,5,Datasheet_0431,1,B02
0478,Flurofamide,Enzymes,Other Hydrolases,Inhibitor,Urease inhibitor,1,Datasheet_0478,1,B04
0541,Fasudil hydrochloride,Enzymes,Rho-kinases,Inhibitor,Inhibitor of cyclic nucleotide dependent- and Rho-kinases,3,Datasheet_0541,1,B06
0542,H-7 dihydrochloride,Enzymes,Broad Spectrum Protein Kinase Inhibitors,Inhibitor,Protein kinase inhibitor,6,Datasheet_0542,1,B07
0607,17-ODYA,Enzymes,Hydroxylases,Inhibitor,LTB ω-hydroxylase inhibitor,4,Datasheet_0607,1,B11
0665,L-NAME hydrochloride,Enzymes,Non-selective NOS,Inhibitor,Non-selective NOS inhibitor,7,Datasheet_0665,1,C04
0741,GF 109203X,Enzymes,Protein Kinase C,Inhibitor,Protein kinase C inhibitor,6,Datasheet_0741,1,D02
0767,Bifemelane hydrochloride,Enzymes,Monoamine Oxidase,Inhibitor,Non-selective MAO inhibitor,2,Datasheet_0767,1,D06
0905,Rolipram,Enzymes,Phosphodiesterases,Inhibitor,PDE4 inhibitor,19,Datasheet_0905,1,E03
0942,NS 398,Enzymes,Cyclooxygenase,Inhibitor,Cyclooxygenase-2 (COX-2) inhibitor,2,Datasheet_0942,1,E10
1099,Forskolin,Enzymes,Adenylyl Cyclase,Activator,Adenylyl cyclase activator,3,Datasheet_1099,1,H06
1110,Genistein,Enzyme-Linked Receptors,EGFR,Inhibitor,EGFR kinase inhibitor. Also estrogen and PPARγ ligand,4,Datasheet_1110,1,H08
1130,LY 294002 hydrochloride,Enzymes,PI 3-Kinase,Inhibitor,Prototypical PI 3-kinase inhibitor; also inhibits other kinases,4,Datasheet_1130,1,H10
1202,SB 203580,Enzymes,p38,Inhibitor,Selective inhibitor of p38 MAPK,5,Datasheet_1202,2,A03
1213,PD 98059,Enzymes,MEK,Inhibitor,MEK inhibitor,9,Datasheet_1213,2,A06
1226,Etoposide,Enzymes,DNA Topoisomerase,Inhibitor,Topoisomerase II inhibitor,6,Datasheet_1226,2,A09
1264,SB 202190,Enzymes,p38,Inhibitor,"Potent, selective inhibitor of p38 MAPK",5,Datasheet_1264,2,B04
1305,Monastrol,Enzymes,Kinesin,Inhibitor,Selective inhibitor of mitotic kinesin Eg5,4,Datasheet_1305,2,B06
1332,Roscovitine,Enzymes,Cyclin-dependent Kinase,Inhibitor,Cdk inhibitor,2,Datasheet_1332,2,C02
1349,(R)-(-)-Rolipram,Enzymes,Phosphodiesterases,Inhibitor,PDE4 inhibitor. More active enantiomer of rolipram (Cat. No. 0905),15,Datasheet_1349,2,C03
1398,Kenpaullone,Enzymes,Glycogen Synthase Kinase 3,Inhibitor,GSK-3β inhibitor; also inhibits cdks,2,Datasheet_1398,2,C06
1400,SCH 202676 hydrobromide,Enzymes,Heterotrimeric G-protein GTPases,Inhibitor,Inhibitor of ligand binding to G-protein-coupled receptors,1,Datasheet_1400,2,C07
1407,PP 2,Enzymes,Src Kinases,Inhibitor,"Potent, selective Src family kinase inhibitor",3,Datasheet_1407,2,C08
1418,Resveratrol,Enzymes,Cyclooxygenase,Inhibitor,Cyclooxygenase inhibitor,4,Datasheet_1418,2,D02
1430,DuP 697,Enzymes,Cyclooxygenase,Inhibitor,Cyclooxygenase-2 (COX-2) inhibitor,1,Datasheet_1430,2,D05
1435,SQ 22536,Enzymes,Adenylyl Cyclase,Inhibitor,Adenylyl cyclase inhibitor,2,Datasheet_1435,2,D06
