catalog_id,smiles,product_name,pubchem_id,chemical_name,molecular_formula,cas_numeber,molecular_weight_batch,target_class,primary_target,primary_action,brief_description,batch,rdkit_smiles,chemical_cluster_0.75,medoid_0.75
2995,O=C(NC2=CC(C(F)(F)F)=CC=C2Cl)NC1=C(O)C=CC(Cl)=C1,NS 1738,310378,N-(5-Chloro-2-hydroxyphenyl)-N'-[2-chloro-5-(trifluoromethyl)phenyl]urea,C14H9Cl2F3N2O2,[501684-93-1],365.13,Ion Channels,Nicotinic (a7) Receptors,Modulator,Positive allosteric modulator of ?7 nAChRs; active in vivo,1,O=C(Nc1cc(Cl)ccc1O)Nc1cc(C(F)(F)F)ccc1Cl,551,1
3000,FC(C=C3)=C(Cl)C=C3NC2=NC=NC1=CC(OC)=C(OCCCN4CCOCC4)C=C12,Iressa,123631,N-(3-chloro-4-fluoro-phenyl)-7-methoxy-6-(3-morpholin-4-ylpropoxy)quinazolin-4-amine,C22H24ClFN4O3,[184475-35-2],446.9,Enzyme-Linked Receptors,EGFR,Inhibitor,"Orally active, selective EGFR inhibitor",3,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,391,0
3023,COC(C=C3)=CC=C3/C=C/C2=NC1=CC=CC=C1C(NCCCN(C)C)=N2.Cl.Cl,CP 31398 dihydrochloride,56972205,"N'-[2-[2-(4-Methoxyphenyl)ethenyl]-4-quinazolinyl]-N,N-dimethyl-1,3-propanediamine dihydrochloride",C22H26N4O.HCl,[1217195-61-3],453.41,Cell biology,p53,Other,p53-stabilizing agent,1,COc1ccc(/C=C/c2nc(NCCCN(C)C)c3ccccc3n2)cc1,414,1
3026,O=C2C1=CC=CC(NC(C4=CC=C(OCCCCC5=CC=CC=C5)C=C4)=O)=C1OC(C3=NN=NN3)=C2,ONO 1078,4887,N-[4-Oxo-2-(1H-tetrazol-5-yl)-4H-1-benzopyran-8-yl]-4(4-phenylbutoxy)benzamide,C27H23N5O4,[103177-37-3],490.51,7-TM Receptors,Leukotriene and Related Receptors,Antagonist,Selective CysLT1 antagonist; also TREK2 activator,1,O=C(Nc1cccc2c(=O)cc(-c3nnn[nH]3)oc12)c1ccc(OCCCCc2ccccc2)cc1,212,1
3036,O=C(NC(CCC(O)=O)C(N(CCCOC)CCCCC)=O)C1=CC=C(Cl)C(Cl)=C1,Loxiglumide,60182,"4-[(3,4-Dichlorobenzoyl)amino]-5-[(3-methoxypropyl)pentylamino]-5-oxopentanoic acid",C21H30Cl2N2O5,[107097-80-3],461.38,7-TM Receptors,CCK1 Receptor,Antagonist, CCK1 antagonist; active in vivo,1,CCCCCN(CCCOC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,623,1
3037,O=C2NC1=CC=CC=C1/C2=C/C3=C(C)C=C(C)N3,SU 5416,5329098,"3-[(3,5-Dimethyl-1H-pyrrol-2-yl)methylene]-1,3-dihydro-2H-indol-2-one",C15H14N2O,[204005-46-9],238.28,Enzyme-Linked Receptors,VEGFR,Inhibitor,"VEGFR inhibitor. Also inhibits KIT, RET, MET and FLT3",6,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,769,0
3041,ClC1=CC(COC2=NC(N3CCNCC3)=CN=C2)=CC=C1.Cl,CP 809101 hydrochloride,56972220,2-[(3-Chlorophenyl)methoxy]-6-(1-piperazinyl)pyrazine hydrochloride,C15H17N4OCl.HCl,[1215721-40-6],341.24,7-TM Receptors,5-HT2C Receptors,Agonist,Potent and selective 5-HT2C agonist,2,Clc1cccc(COc2cncc(N3CCNCC3)n2)c1,612,1
3044,O=C(NC(C)(C)C)NC2=NC1=NC(NCCCCN(CC)CC)=NC=C1C=C2C3=CC(OC)=CC(OC)=C3,PD 173074,1401,"N-[2-[[4-(Diethylamino)butyl]amino]-6-(3,5-dimethoxyphenyl)pyrido[2,3-d]pyrimidin-7-yl]-N'-(1,1-dimethylethyl)urea",C28H41N7O3,[219580-11-7],528.17,Enzyme-Linked Receptors,FGFR,Inhibitor,FGFR1 and -3 inhibitor,5,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,824,1
3050,C[C@@H](NCCOC2=CC=CC=C2OCC)CC1=CC=C(OC)C(S(=O)(N)=O)=C1.Cl,Tamsulosin hydrochloride,5362376,5-[(2R)-2-[[2-(2-Ethoxyphenoxy)ethyl]amino]propyl]-2-benzenesulfonamide hydrochloride,C20H28N2O5S.HCl,[106463-17-6],449.47,7-TM Receptors,Adrenergic Alpha-1 Receptors,Antagonist,Selective ?1A antagonist,1,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,346,1
3062,OC1=C(NC(NC2=C(O)C=CC(C(F)(F)F)=C2)=O)C=C(C(F)(F)F)C=C1,NS 1643,10177784,"N,N'-Bis[2-hydroxy-5-(trifluoromethyl)phenyl]urea",C15H10F6N2O3,[448895-37-2],398.26,Ion Channels,Voltage-Gated Potassium Channels,Activator,KV11.1 (hERG) channel activator; antiarrhythmic,1,O=C(Nc1cc(C(F)(F)F)ccc1O)Nc1cc(C(F)(F)F)ccc1O,551,0
3063,NC1=NC=NC2=C1C(C3=C4C(C=CC=C4)=CC=C3)=NN2C(C)(C)C,1-Naphthyl PP1,4877,"1-(1,1-Dimethylethyl)-3-(1-naphthalenyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine",C19H19N5,[221243-82-9],317.39,Enzymes,Src Kinases,Inhibitor,Src family kinase inhibitor; also inhibits c-Abl,2,CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc21,834,0
3066,O=C(C2=CC=C(C3=CSC(N4CCN(C)CC4)=N3)C=C2)NC1(CCCCC1)C(NCC#N)=O,L 006235,9912381,N-[1-[[(Cyanomethyl)amino]carbonyl]cyclohexyl]-4-[2-(4-methyl-1-piperazinyl)-4-thiazolyl]benzamide,C24H30N6O2S,[294623-49-7],466.6,Enzymes,Cathepsin,Inhibitor,Potent cathepsin K inhibitor,3,CN1CCN(c2nc(-c3ccc(C(=O)NC4(C(=O)NCC#N)CCCCC4)cc3)cs2)CC1,274,1
3077,CC1=CC=C(NC3=C2CCNC3CC4=CC=C(OC)C(OC)=C4)C2=C1.Cl,LY 272015 hydrochloride,9929423,"1-[(3,4-Dimethoxyphenyl)methy]-2,3,4,9-tetrahydro-6-methyl-1H-pyrido[3,4-b]indole hydrochloride",C21H24N2O2.HCl,[172895-15-7],372.89,7-TM Receptors,5-HT2B Receptors,Antagonist,High affinity 5-HT2B antagonist; orally active,1,COc1ccc(CC2NCCc3c2[nH]c2ccc(C)cc32)cc1OC,362,1
3078,CC(C1=CC=CC=C1N2CCN3CCC(C(C4=CC=C(F)C=C4)=O)CC3)(C)C2=O.Cl,LY 310762 hydrochloride,11957576,"1-[2-[4-(4-Fluorobenzoyl)-1-piperidinyl]ethyl]-1,3-dihydro-3,3-dimethyl-2H-indol-2-one hydrochloride",C24H27FN2O2.HCl,[192927-92-7],430.94,7-TM Receptors,5-HT1D Receptors,Antagonist,Selective 5-HT1D antagonist,1,CC1(C)C(=O)N(CCN2CCC(C(=O)c3ccc(F)cc3)CC2)c2ccccc21,282,0
3081,CS(=O)(O)=O.NC(C1=CC=C2C(C=CC(OC(C3=CC=C(NC(N)=N)C=C3)=O)=C2)=C1)=N.CS(=O)(O)=O,Nafamostat mesylate,54953,4-[(Aminoiminomethyl)amino]benzoic acid 6-(aminoiminomethyl)-2-naphthalenyl ester dimethanesulfonate,C19H17N5O2.2CH4O3S,[82956-11-4],539.59,Enzymes,Other Proteases,Inhibitor,"Serine protease inhibitor, inhibits tryptase",3,N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,446,1
3083,CCC1=C(C(OC)=O)N=CC3=C1C2=CC(OC)=C(OC)C=C2N3.Cl,DMCM hydrochloride,45261899,"4-Ethyl-6,7-dimethoxy-9H-pyrido[3,4-b]indole-3-carboxylic acid methyl ester hydrochloride",C17H18N2O4.HCl,[1215833-62-7],350.8,Ion Channels,GABAA Receptors,Benzodiazepine,Benzodiazepine inverse agonist,3,CCc1c(C(=O)OC)ncc2[nH]c3cc(OC)c(OC)cc3c12,366,1
3092,O=C(C2=NC=C(OC=C3)C3=C2)N[C@@H]1C4CCN(CC4)C1.Cl,PHA 543613 hydrochloride,56972222,"N-(3R)-1-Azabicyclo[2.2.2]oct-3-yl-furo[2,3-c]pyridine-5-carboxamide hydrochloride",C15H17N3O2.HCl,[1586767-92-1],312.28,Ion Channels,Nicotinic (a7) Receptors,Agonist,Potent and selective ?7 nAChR agonist,3,O=C(N[C@H]1CN2CCC1CC2)c1cc2ccoc2cn1,339,0
3093,C(C=N2)(C4=CC=C(OCCN5CCCCC5)C=C4)=CN1C2=C(C3=CC=NC=C3)C=N1.Cl.Cl,Dorsomorphin dihydrochloride,49761481,"6-[4-[2-(1-Piperidinyl)ethoxy]phenyl]-3-(4-pyridinyl)-pyrazolo[1,5-a]pyrimidine dihydrochloride",C24H25N5O.2HCl,[1219168-18-9],499.43,Enzymes,AMPK,Inhibitor,Potent AMPK inhibitor; also BMP type I receptor inhibitor,5,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1,743,0
3094,CN(CC3)C[C@@H](O)[C@H]3[C@]1=C(OC(C4=CC=CC=C4Cl)=CC2=O)C2=C(O)C=C1O.Cl,Flavopiridol hydrochloride,9910986,"2-(2-Chlorophenyl)-5,7-dihydroxy-8-[(3S,4R)-3-hydroxy-1-methyl-4-piperidinyl]-4H-1-benzopyran-4-one hydrochloride",C21H20ClNO5.HCl,[131740-09-5],442.8,Enzymes,Cyclin-dependent Kinase,Inhibitor,Cdk inhibitor; potently inhibits cdk2 and cdk9,1,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,630,1
3100,CC[C@@H]3N(CC5CC5)C1=C2C(C(C4=CC=C(Cl)C=C4Cl)=NN2C3)=NC(C)=C1.Cl,NBI 35965 hydrochloride,71433630,"(7S)-6-(Cyclopropylmethyl)-2-(2,4-dichlorophenyl)-7-ethyl-7,8-dihydro-4-methyl-6H-1,3,6,8a-tetraazaacenaphthylene hydrochloride",C21H22Cl2N4.HCl,[1782228-59-4],451.3,7-TM Receptors,CRF1 Receptors,Antagonist,Potent and selective CRF1 antagonist,3,CC[C@H]1Cn2nc(-c3ccc(Cl)cc3Cl)c3nc(C)cc(c32)N1CC1CC1,581,1
3108,CCCCNC1=CC(C(O)=O)=CC(S(=O)(N)=O)=C1OC2=CC=CC=C2,Bumetanide,2471,3-(Aminosulfonyl)-5-(butylamino)-4-phenoxybenzoic acid,C17H20N2O5S,[28395-03-1],364.42,Transporters,Na+/K+/Cl- Symporter,Inhibitor,Na+/2Cl-/K+ (NKCC) symporter inhibitor,3,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,453,1
3109,ClC1=CC(NCC2=CC=CO2)=C(C(O)=O)C=C1S(=O)(N)=O,Furosemide,3440,5-(Aminosulfonyl)-4-chloro-2-([2-furanylmethyl]amino)benzoic acid,C12H11ClN2O5S,[54-31-9],330.74,Transporters,Na+/K+/Cl- Symporter,Inhibitor,Na+/2Cl-/K+ (NKCC) symporter inhibitor; also GABAA antagonist,1,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,545,1
3113,CCNC2=NC1=CC=C(Cl)C=C1C(C3=CC=CC=C3)(C)O2.Cl,Etifoxine hydrochloride,171544,"6-Chloro-2-N-ethyl-4-methyl-4-phenyl-4H-3,1-benzoxazin-2-amine hydrochloride",C17H17ClN2O.HCl,[56776-32-0],346.25,Other Pharmacology,Translocator Protein,Ligand,Ligand of the translocator protein (TSPO); also GABAA receptor potentiator,1,CCNC1=Nc2ccc(Cl)cc2C(C)(c2ccccc2)O1,637,1
3114,CC1=C2C(CCC(COC3=CC=C(CC4C(NC(S4)=O)=O)C=C3)(C)O2)=C(C)C(O)=C1C,Troglitazone,5591,"5-[[4-[(3,4-Dihydro-6-hydroxy-2,5,7,8-tetramethyl-2H-1-benzopyran-2-yl)methoxy]phenyl]methyl]-2,4-thiazolidinedione",C24H27NO5S,[97322-87-7],441.54,Nuclear Receptors,PPARgamma Receptors,Agonist,Selective PPAR? agonist; antidiabetic agent,5,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,439,0
3118,COC1=CC=CC=C1OCC(CN2CCN(CC(NC3=C(C)C=CC=C3C)=O)CC2)O.Cl.Cl,Ranolazine dihydrochloride,71279,"N-(2,6-Dimethylphenyl)-4-[2-hydroxy-3-(2-methoxyphenoxy)propyl]-1-piperazineacetamide dihydrochloride",C24H33N3O4.2HCl,[95635-56-6],509.47,Enzymes,Other Dehydrogenases,Activator,"Antianginal, activates pyruvate dehydrogenase",2,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,348,0
3129,O=C(N[C@@H]2CCCC[C@@H]2NC(CNC(C3=C(NC(NC(C)C)=O)C=CC(C(F)(F)F)=C3)=O)=O)C1=CC=C(SC)C=C1,BMS CCR2 22,24801690,2-[(Isopropylaminocarbonyl)amino]-N-[2-[[cis-2-[[4-(methylthio)benzoyl]amino]cyclohexyl]amino]-2-oxoethyl]-5-(trifluoromethyl)benzamide,C28H34F3N5O4S,[445479-97-0],593.66,7-TM Receptors,Chemokine CC Receptors,Antagonist,"High affinity, potent CCR2 antagonist",3,CSc1ccc(C(=O)N[C@@H]2CCCC[C@@H]2NC(=O)CNC(=O)c2cc(C(F)(F)F)ccc2NC(=O)NC(C)C)cc1,324,1
3133,CCCN(CCC)CCC1=CC=C(OC)C(OCCC2=CC=CC=C2)=C1.Cl,NE 100 hydrochloride,9952420,"4-Methoxy-3-(2-phenylethoxy)-N,N-dipropylbenzeneethanamine hydrochloride",C23H33NO2.HCl,[149409-57-4],391.97,Other Pharmacology,Sigma1 Receptors,Antagonist,Selective ?1 antagonist,3,CCCN(CCC)CCc1ccc(OC)c(OCCc2ccccc2)c1,364,0
3134,O=C(C3=CC=C(OCCO4)C4=C3)N[C@@H]1C2CCN(CC2)C1.O=C(/C=C/C(O)=O)O,PHA 568487,56972212,"N-(3R)-1-Azabicyclo[2.2.2]oct-3-yl-2,3-dihydro-1,4-benzodioxin-6-carboxamide fumarate",C16H20N2O3.C4H4O4,[527680-57-5],422.43,Ion Channels,Nicotinic (a7) Receptors,Agonist,Selective ?7 nAChR agonist,2,O=C(N[C@H]1CN2CCC1CC2)c1ccc2c(c1)OCCO2,339,0
3136,O[C@@H]1[C@@H](CO)O[C@@H](N3C2=NC(Cl)=NC(N)=C2N=C3)[C@@H]1O,2-Chloroadenosine,8974,6-Amino-2-chloropurine riboside,C10H12ClN5O4,[146-77-0],301.69,7-TM Receptors,Non-selective Adenosine,Agonist,Adenosine receptor agonist,1,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,841,1
3140,O=C1NCCC2=C1C=C(C3=CC=NC=C3)N2.Cl,PHA 767491 hydrochloride,11715766,"1,5,6,7-Tetrahydro-2-(4-pyridinyl)-4H-pyrrolo[3,2-c]pyridin-4-one hydrochloride",C12H11N3O.HCl,[942425-68-5],285.73,Enzymes,MK2,Inhibitor,MK2 inhibitor; also cdk inhibitor; potently inhibits cdk9,2,O=C1NCCc2[nH]c(-c3ccncc3)cc21,59,1
3188,O=C(CCC4CCCC4)N(CCN(C)C)CC(C=C2)=CC=C2C1=CC=C(CNCCC3=CC=CC=C3)C=C1.Cl.Cl,SB 699551,11983346,"N-[2-(Dimethylamino)ethyl]-N-[[4'-[[(2-phenylethyl)amino]methyl][1,1'-biphenyl]-4-yl]methyl]cyclopentanepropanamide dihydrochloride",C34H45N3O.2HCl,[864741-95-7],629.7,7-TM Receptors,5-HT5 Receptors,Antagonist,Selective 5-ht5a antagonist,2,CN(C)CCN(Cc1ccc(-c2ccc(CNCCc3ccccc3)cc2)cc1)C(=O)CCC1CCCC1,222,1
3189,Cl.ClC1=CC(Cl)=CC(NS(C2=CC(N3CCNCC3)=C(OC)C=C2)(=O)=O)=C1OC,SB 399885 hydrochloride,6918649,"N-(3,5-Dichloro-2-methoxyphenyl)-4-methoxy-3-(1-piperazinyl)benzenesulfonamide hydrochloride",C18H21Cl2N3O4S.HCl,[402713-81-9],487.31,7-TM Receptors,5-HT6 Receptors,Antagonist,Potent and selective 5-HT6 antagonist,3,COc1ccc(S(=O)(=O)Nc2cc(Cl)cc(Cl)c2OC)cc1N1CCNCC1,112,1
3190,OC(C=C1)=CC=C1/C=C2/C(NC(S2)=N)=O,Mirin,1206243,"Z-5-(4-Hydroxybenzylidene)-2-imino-1,3-thiazolidin-4-one",C10H8N2O2S,[1198097-97-0],233.76,Enzymes,ATM & ATR Kinase,Inhibitor,MRN-ATM pathway inhibitor,2,N=C1NC(=O)/C(=C/c2ccc(O)cc2)S1,888,0
3191,CN(C1=CC=CC=C1CN2CCCN(CC4=C(N(C)C)C=CC=C4)C2C3=CC=NC=C3)C,GANT 61,421610,"2,2'-[[Dihydro-2-(4-pyridinyl)-1,3(2H,4H)-pyrimidinediyl]bis(methylene)]bis[N,N-dimethylbenzenamine",C27H35N5,[500579-04-4],429.61,Cell biology,Hedgehog Signaling,Inhibitor,GLI antagonist; inhibits Hedgehog (Hh) signaling,2,CN(C)c1ccccc1CN1CCCN(Cc2ccccc2N(C)C)C1c1ccncc1,361,1
3197,[H][C@]12C(C)(C)CCC[C@@](C)1[C@@H](C=O)C(C=O)=CC2,Polygodial,72503,"(1R,4aS,8aS)-1,4,4a,5,6,7,8,8a-Octahydro-5,5,8a-trimethyl-1,2-naphthalenedicarboxaldehyde",C15H22O2,[6754-20-7],234.33,Ion Channels,TRPA1,Activator,TRPA1 channel activator; analgesic and antifungal,2,CC1(C)CCC[C@@]2(C)[C@H]1CC=C(C=O)[C@@H]2C=O,32,1
3198,O=C(NC2=C1NC(C3=CC=C(S(N4CCN(C5=CC=C(Cl)C=C5)CC4)(=O)=O)C=C3)=N2)N(CCC)C1=O,PSB 603,44185871,8-[4-[4-(4-Chlorophenzyl)piperazide-1-sulfonyl)phenyl]]-1-propylxanthine,C24H25ClN6O4S,[1092351-10-4],533.51,7-TM Receptors,Adenosine A2B Receptors,Antagonist,Highly selective A2B antagonist,2,CCCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)N4CCN(c5ccc(Cl)cc5)CC4)cc3)[nH]c2c1=O,668,0
3199,O=C(NC2=C1NC(C3=CC=C(S(N4CCN(CC5=CC=C(Cl)C=C5)CC4)(=O)=O)C=C3)=N2)N(CCC)C1=O,PSB 0788,44186581,8-[4-[4-(4-Chlorobenzyl)piperazide-1-sulfonyl)phenyl]]-1-propylxanthine,C25H27ClN6O4S,[1027513-54-7],543.04,7-TM Receptors,Adenosine A2B Receptors,Antagonist,Selective A2B antagonist,1,CCCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)N4CCN(Cc5ccc(Cl)cc5)CC4)cc3)[nH]c2c1=O,668,1
3200,O=C1N(CCC)C(C(NC(C3=CC=C(OCC(NCCN)=O)C=C3)=N2)=C2N1CCC)=O.Cl.Cl,XAC,121513846,"N-(2-Aminoethyl)-2-[4-(2,3,6,7-tetrahydro-2,6-dioxo-1,3-dipropyl-1H-purin-8-yl)phenoxy]-acetamide dihydrochloride",C21H28N6O4.2HCl,[1962928-23-9],501.41,7-TM Receptors,Non-selective Adenosine,Antagonist,Adenosine receptor antagonist,3,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)NCCN)cc3)nc2n(CCC)c1=O,668,0
3211,CC1=NC(C4=C(NC(C(C)(C)C)=N4)C2=CC=C(N=CC=N3)C3=C2)=CC=C1,SB 525334,9967941,"6-[2-(1,1-Dimethylethyl)-5-(6-methyl-2-pyridinyl)-1H-imidazol-4-yl]quinoxaline",C21H21N5,[356559-20-1],352.43,Enzyme-Linked Receptors,TGF-beta Receptors,Inhibitor,Selective inhibitor of TGF-?RI,4,Cc1cccc(-c2nc(C(C)(C)C)[nH]c2-c2ccc3nccnc3c2)n1,746,0
3212,CC1=CC(NC(CC)CC)=C(C)C(OC2=C(C)C=C(C)C=C2C)=N1.Cl,CP 376395 hydrochloride,24806455,"N-(1-Ethylpropyl)-3,6-dimethyl-2-(2,4,6-trimethylphenoxy)-4-pyridinamine hydrochloride",C21H30N2.HCl,[1013933-37-3],362.94,7-TM Receptors,CRF1 Receptors,Antagonist,Potent and selective CRF1 antagonist; binds at an allosteric site,1,CCC(CC)Nc1cc(C)nc(Oc2c(C)cc(C)cc2C)c1C,86,1
3219,O=P(CC)(CCCN)O.Cl,CGP 36216 hydrochloride,90488815,(3-Aminopropyl)ethylphosphinic acid hydrochloride,C5H14NO2P.HCl,[1781834-71-6],187.6,7-TM Receptors,GABAB Receptors,Antagonist,GABAB antagonist; displays activity at presynaptic receptors,1,CCP(=O)(O)CCCN,876,1
3235,O=C(C4=CC(C#N)=CC=C4)NC1=CC(C3=CC=CC=C3)=NN1C2=CC=CC=C2,CDPPB,11245456,"3-Cyano-N-(1,3-diphenyl-1H-pyrazol-5-yl)benzamide",C23H16N4O,[781652-57-1],364.4,7-TM Receptors,Glutamate (Metabotropic) Group I Receptors,Modulator,Positive allosteric modulator of mGlu5 receptors,5,N#Cc1cccc(C(=O)Nc2cc(-c3ccccc3)nn2-c2ccccc2)c1,248,1
3239,O=C(N3)CCC1=C3C=CC(NC2=NC(NCC4=CC=CC(S(=O)(C)=O)=C4)=C(C(F)(F)F)C=N2)=C1,PF 573228,11612883,"3,4-Dihydro-6-[[4-[[[3-(methylsulfonyl)phenyl]methyl]amino]-5-(trifluoromethyl)-2-pyrimidinyl]amino]-2(1H)-quinolinone",C22H20F3N5O3S,[869288-64-2],495.99,Enzymes,Focal Adhesion Kinase,Inhibitor,Potent and selective FAK inhibitor,3,CS(=O)(=O)c1cccc(CNc2nc(Nc3ccc4c(c3)CCC(=O)N4)ncc2C(F)(F)F)c1,408,1
3240,OC1(C2=CC=CC=C2)CC3N(C(C5=CC=CC=C5C)C4=C(C)C=CC=C4)C(CC3)C1,SCH 221510,9887077,3-Endo-8-[bis(2-methylphenyl)methyl]-3-phenyl-8-azabicyclo[3.2.1]octan-3-ol,C28H31NO,[322473-89-2],397.55,7-TM Receptors,NOP Receptors,Agonist,Potent and selective NOP agonist,2,Cc1ccccc1C(c1ccccc1C)N1C2CCC1CC(O)(c1ccccc1)C2,757,1
3241,O=C(N[C@H]4CCC(OC(C)(C)C)=O)[C@]3([H])CC1=C([C@H](CC(C)C)N3C4=O)NC2=C1C=CC(OC)=C2,Ko 143,10322450,"(3S,6S,12aS)-1,2,3,4,6,7,12,12a-Octahydro-9-methoxy-6-(2-methylpropyl)-1,4-dioxopyrazino[1',2':1,6]pyrido[3,4-b]indole-3-propanoic acid 1,1-dimethylethyl ester",C26H35N3O5,[461054-93-3],474.07,Transporters,Multidrug Transporters,Inhibitor,Potent and selective BCRP inhibitor,4,COc1ccc2c3c([nH]c2c1)[C@H](CC(C)C)N1C(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@@H]1C3,420,1
3250,FC(C=CC(F)=C3)=C3C1=NN=C2N1N=C(OCC4=NC=NN4C)C(C(C)(C)C)=C2,"L-838,417",9908880,"3-(2,5-Difluorophenyl)-7-(1,1-dimethylethyl)-6-[(1-methyl-1H-1,2,4-triazol-5-yl)methoxy]-1,2,4-triazolo[4,3-b]pyridazine",C19H19F2N7O,[286456-42-6],403.9,Ion Channels,GABAA Receptors,Agonist,GABAA partial agonist; displays subtype selectivity,5,Cn1ncnc1COc1nn2c(-c3cc(F)ccc3F)nnc2cc1C(C)(C)C,859,1
3253,O=C1C2=C([C@@](C[C@H]5[C@]4(O5)[C@](O6)3[C@@H]6[C@H]7[C@](C(C)C)(O7)[C@H]4O)([H])[C@]3(C)CC2)CO1,Triptolide,107985,"(3bS,4aS,5aS,6R,6aR,7aS,7bS,8aS,8bS)-3b,4,4a,6,6a,7a,7b,8b,9,10-Decahydro-6-hydroxy-8b-methyl-6a-(1-methylethyl)trisoxireno[4b,5:6,7:8a,9]phenanthro[1,2-c]furan-1(3H)-one",C20H24O6,[38748-32-2],360.4,Enzymes,RNA/DNA Polymerase,Other,"Inhibits RNAPII-mediated transcription; antitumor, anti-inflammatory and immunosuppressive",3,CC(C)[C@]12O[C@H]1[C@@H]1O[C@@]13[C@@]1(C)CCC4=C(COC4=O)[C@@H]1C[C@@H]1O[C@@]13[C@@H]2O,13,1
3254,O=S(NC1=NC(C2=CC=CC([N+]([O-])=O)=C2)=CS1)(C3=CC=C(OC)C(OC)=C3)=O,Ro 61-8048,5282337,"3,4-Dimethoxy-N-[4-(3-nitrophenyl)-2-thiazolyl]benzenesulfonamide",C17H15N3O6S2,[199666-03-0],421.45,Enzymes,Kynurenine 3-monooxygenase,Inhibitor,Potent kynurenine 3-monooxygenase (KMO) inhibitor,5,COc1ccc(S(=O)(=O)Nc2nc(-c3cccc([N+](=O)[O-])c3)cs2)cc1OC,113,1
3255,Cl.CN(C)CC(=O)NC1=CC2=C(NC(=O)C3=CC=CC=C23)C=C1,PJ 34 hydrochloride,16760621,"N-(5,6-Dihydro-6-oxo-2-phenanthridinyl)-2-acetamide hydrochloride",C17H17N3O2.HCl,[344458-15-7],358.82,Enzymes,Poly(ADP-ribose) Polymerase,Inhibitor,Potent PARP inhibitor,4,CN(C)CC(=O)Nc1ccc2[nH]c(=O)c3ccccc3c2c1,793,1
3256,O=C(O)C(O)C(O)C(O)=O.OC(CNC(C)C)COC1=CC=C(CCOC)C=C1.OC(CNC(C)C)COC2=CC=C(CCOC)C=C2,Metoprolol tartrate,6420057,1-[4-(2-Methoxyethyl)phenoxy]-3-[(1-methylethyl)amino]-2-propanol hemitartrate,C15H25NO3.�C4H6O6,[56392-17-7],342.4,7-TM Receptors,Adrenergic Beta-1 Receptors,Antagonist,Selective ?1 antagonist,1,COCCc1ccc(OCC(O)CNC(C)C)cc1,434,1
3259,OC[C@@H]1[C@@H](O)C(F)(F)[C@H](N2C(N=C(N)C=C2)=O)O1.Cl,Gemcitabine hydrochloride,69101485,"(+)-2'-Deoxy-2',2'-difluorocytidine hydrochloride",C9H11F2N3O4.HCl,[122111-03-9],299.66,Cell biology,"DNA, RNA and Protein Synthesis",Inhibitor,DNA synthesis inhibitor,3,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,845,1
3263,CC(C)(C)C1=NC(C2=CC(OCO4)=C4C=C2)=C(C3=NC(C)=CC=C3)N1,SB 505124,9858940,"2-[4-(1,3-Benzodioxol-5-yl)-2-(1,1-dimethylethyl)-1H-imidazol-5-yl]-6-methyl-pyridine",C20H21N3O2,[694433-59-5],335.4,Enzyme-Linked Receptors,TGF-beta Receptors,Inhibitor,"Selective inhibitor of TGF-?RI, ALK4 and ALK7",2,Cc1cccc(-c2[nH]c(C(C)(C)C)nc2-c2ccc3c(c2)OCO3)n1,746,0
