UniProtKB,Entry_Name,Cluster
P29274,AA2AR_HUMAN,GPCR
Q96RI9,TAAR9_HUMAN,GPCR
Q969N4,TAAR8_HUMAN,GPCR
O14804,TAAR5_HUMAN,GPCR
Q9P1P5,TAAR2_HUMAN,GPCR
Q96RJ0,TAAR1_HUMAN,GPCR
Q8NH54,O56A3_HUMAN,GPCR
Q8NGH8,O56A4_HUMAN,GPCR
Q8NGC7,O11H6_HUMAN,GPCR
B2RN74,O11HC_HUMAN,GPCR
Q8NH07,O11H2_HUMAN,GPCR
Q8NGU2,OR9A4_HUMAN,GPCR
Q8NGT5,OR9A2_HUMAN,GPCR
Q8NG75,OR5T1_HUMAN,GPCR
Q8NH87,OR9G1_HUMAN,GPCR
Q9GZK7,O11A1_HUMAN,GPCR
Q8NGY0,O10X1_HUMAN,GPCR
Q8NGS4,O13F1_HUMAN,GPCR
P41968,MC3R_HUMAN,GPCR
P33032,MC5R_HUMAN,GPCR
P32245,MC4R_HUMAN,GPCR
Q01726,MSHR_HUMAN,GPCR
Q01718,ACTHR_HUMAN,GPCR
Q9UBY5,LPAR3_HUMAN,GPCR
Q9HBW0,LPAR2_HUMAN,GPCR
Q92633,LPAR1_HUMAN,GPCR
O95977,S1PR4_HUMAN,GPCR
Q9H228,S1PR5_HUMAN,GPCR
O95136,S1PR2_HUMAN,GPCR
Q99500,S1PR3_HUMAN,GPCR
P21453,S1PR1_HUMAN,GPCR
P46095,GPR6_HUMAN,GPCR
P47775,GPR12_HUMAN,GPCR
P46089,GPR3_HUMAN,GPCR
P21554,CNR1_HUMAN,GPCR
P34972,CNR2_HUMAN,GPCR
Q96LB1,MRGX2_HUMAN,GPCR
Q96LA9,MRGX4_HUMAN,GPCR
Q96LB0,MRGX3_HUMAN,GPCR
Q96LB2,MRGX1_HUMAN,GPCR
P35410,MAS1L_HUMAN,GPCR
Q86SM5,MRGRG_HUMAN,GPCR
Q86SM8,MRGRE_HUMAN,GPCR
Q96AM1,MRGRF_HUMAN,GPCR
Q8TDS7,MRGRD_HUMAN,GPCR
P04201,MAS_HUMAN,GPCR
P43115,PE2R3_HUMAN,GPCR
P34995,PE2R1_HUMAN,GPCR
P21731,TA2R_HUMAN,GPCR
P43088,PF2R_HUMAN,GPCR
P35408,PE2R4_HUMAN,GPCR
P43119,PI2R_HUMAN,GPCR
Q13258,PD2R_HUMAN,GPCR
P43116,PE2R2_HUMAN,GPCR
P30518,V2R_HUMAN,GPCR
P47901,V1BR_HUMAN,GPCR
P37288,V1AR_HUMAN,GPCR
P30559,OXYR_HUMAN,GPCR
O60883,G37L1_HUMAN,GPCR
O15354,GPR37_HUMAN,GPCR
Q9NS67,GPR27_HUMAN,GPCR
P60893,GPR85_HUMAN,GPCR
Q9NS66,GP173_HUMAN,GPCR
Q6DWJ6,GP139_HUMAN,GPCR
Q7Z601,GP142_HUMAN,GPCR
Q8TDT2,GP152_HUMAN,GPCR
Q8NGU9,GP150_HUMAN,GPCR
Q99680,GPR22_HUMAN,GPCR
Q9GZN0,GPR88_HUMAN,GPCR
P47804,RGR_HUMAN,GPCR
Q8TDV2,GP148_HUMAN,GPCR
Q9NQS5,GPR84_HUMAN,GPCR
Q5NUL3,FFAR4_HUMAN,GPCR
P30968,GNRHR_HUMAN,GPCR
Q8TDV5,GP119_HUMAN,GPCR
Q9Y2T5,GPR52_HUMAN,GPCR
Q99679,GPR21_HUMAN,GPCR
Q8N6U8,GP161_HUMAN,GPCR
Q96P66,GP101_HUMAN,GPCR
Q8WXH0,SYNE2_HUMAN,Actin-binding
Q14315,FLNC_HUMAN,Actin-binding
O75369,FLNB_HUMAN,Actin-binding
P21333,FLNA_HUMAN,Actin-binding
P58107,EPIPL_HUMAN,Actin-binding
Q15149,PLEC_HUMAN,Actin-binding
Q9H254,SPTN4_HUMAN,Actin-binding
P11277,SPTB1_HUMAN,Actin-binding
O15020,SPTN2_HUMAN,Actin-binding
Q01082,SPTB2_HUMAN,Actin-binding
P46939,UTRN_HUMAN,Actin-binding
P11532,DMD_HUMAN,Actin-binding
P02549,SPTA1_HUMAN,Actin-binding
Q13813,SPTN1_HUMAN,Actin-binding
Q9NRC6,SPTN5_HUMAN,Actin-binding
P12814,ACTN1_HUMAN,Actin
O43707,ACTN4_HUMAN,Actin
P35609,ACTN2_HUMAN,Actin
Q08043,ACTN3_HUMAN,Actin
Q13936,CAC1C_HUMAN,CaV Channels
Q01668,CAC1D_HUMAN,CaV Channels
Q13698,CAC1S_HUMAN,CaV Channels
O60840,CAC1F_HUMAN,CaV Channels
O00555,CAC1A_HUMAN,CaV Channels
Q15878,CAC1E_HUMAN,CaV Channels
Q00975,CAC1B_HUMAN,CaV Channels
Q8WXG9,AGRV1_HUMAN,GPCR
Q3L8U1,CHD9_HUMAN,DNA-binding
Q9P2D1,CHD7_HUMAN,DNA-binding
Q9HCK8,CHD8_HUMAN,DNA-binding
Q8TD26,CHD6_HUMAN,DNA-binding
Q12873,CHD3_HUMAN,DNA-binding
Q14839,CHD4_HUMAN,DNA-binding
Q8TDI0,CHD5_HUMAN,DNA-binding
P51532,SMCA4_HUMAN,DNA-binding
P51531,SMCA2_HUMAN,DNA-binding
O14647,CHD2_HUMAN,DNA-binding
O14646,CHD1_HUMAN,DNA-binding
P46100,ATRX_HUMAN,DNA-binding
O14981,BTAF1_HUMAN,DNA-binding
O60264,SMCA5_HUMAN,DNA-binding
P28370,SMCA1_HUMAN,DNA-binding
Q149N8,SHPRH_HUMAN,DNA-binding
P0DP91,ERPG3_HUMAN,DNA-binding
Q03468,ERCC6_HUMAN,DNA-binding
Q9ULG1,INO80_HUMAN,DNA-binding
Q9Y4B4,ARIP4_HUMAN,DNA-binding
Q2NKX8,ERC6L_HUMAN,DNA-binding
Q9Y620,RA54B_HUMAN,DNA-binding
Q92698,RAD54_HUMAN,DNA-binding
Q9H4L7,SMRCD_HUMAN,DNA-binding
Q86WJ1,CHD1L_HUMAN,DNA-binding
Q9NRZ9,HELLS_HUMAN,DNA-binding
Q5FWF4,ZRAB3_HUMAN,DNA-binding
Q9NZC9,SMAL1_HUMAN,DNA-binding
Q14527,HLTF_HUMAN,DNA-binding
Q9UNY4,TTF2_HUMAN,DNA-binding
Q96L91,EP400_HUMAN,DNA-binding
Q6ZRS2,SRCAP_HUMAN,DNA-binding
Q86UQ4,ABCAD_HUMAN,ATPase
Q8WWZ7,ABCA5_HUMAN,ATPase
Q8N139,ABCA6_HUMAN,ATPase
O94911,ABCA8_HUMAN,ATPase
Q8IUA7,ABCA9_HUMAN,ATPase
Q8IZY2,ABCA7_HUMAN,ATPase
O95477,ABCA1_HUMAN,ATPase
P78363,ABCA4_HUMAN,ATPase
Q86UK0,ABCAC_HUMAN,ATPase
Q9BZC7,ABCA2_HUMAN,ATPase
Q7Z6P3,RAB44_HUMAN,GTPase
Q96S21,RB40C_HUMAN,GTPase
Q12829,RB40B_HUMAN,GTPase
Q9UBK7,RBL2A_HUMAN,GTPase
Q9UNT1,RBL2B_HUMAN,GTPase
Q9BZG1,RAB34_HUMAN,GTPase
O95755,RAB36_HUMAN,GTPase
Q9NZQ0,DJC27_HUMAN,GTPase
Q9NX57,RAB20_HUMAN,GTPase
Q969Q5,RAB24_HUMAN,GTPase
Q9BW83,IFT27_HUMAN,GTPase
P51157,RAB28_HUMAN,GTPase
O14966,RAB7L_HUMAN,GTPase
P57729,RAB38_HUMAN,GTPase
Q13637,RAB32_HUMAN,GTPase
Q9ULC3,RAB23_HUMAN,GTPase
P51151,RAB9A_HUMAN,GTPase
Q9NP90,RAB9B_HUMAN,GTPase
Q96AH8,RAB7B_HUMAN,GTPase
P51149,RAB7A_HUMAN,GTPase
Q8IZ41,RASEF_HUMAN,GTPase
Q9H0N0,RAB6C_HUMAN,GTPase
Q53S08,RAB6D_HUMAN,GTPase
Q5JT25,RAB41_HUMAN,GTPase
P20340,RAB6A_HUMAN,GTPase
Q9NRW1,RAB6B_HUMAN,GTPase
P61020,RAB5B_HUMAN,GTPase
P51148,RAB5C_HUMAN,GTPase
P20339,RAB5A_HUMAN,GTPase
Q13636,RAB31_HUMAN,GTPase
Q9UL26,RB22A_HUMAN,GTPase
Q9UL25,RAB21_HUMAN,GTPase
Q9H0T7,RAB17_HUMAN,GTPase
O95716,RAB3D_HUMAN,GTPase
P20337,RAB3B_HUMAN,GTPase
P20336,RAB3A_HUMAN,GTPase
Q96E17,RAB3C_HUMAN,GTPase
P51159,RB27A_HUMAN,GTPase
O00194,RB27B_HUMAN,GTPase
Q9H082,RB33B_HUMAN,GTPase
Q14088,RB33A_HUMAN,GTPase
Q8N4Z0,RAB42_HUMAN,GTPase
Q14964,RB39A_HUMAN,GTPase
Q96DA2,RB39B_HUMAN,GTPase
Q9H0U4,RAB1B_HUMAN,GTPase
P62820,RAB1A_HUMAN,GTPase
Q92930,RAB8B_HUMAN,GTPase
P61006,RAB8A_HUMAN,GTPase
P51153,RAB13_HUMAN,GTPase
P61026,RAB10_HUMAN,GTPase
Q9ULW5,RAB26_HUMAN,GTPase
Q96AX2,RAB37_HUMAN,GTPase
Q15771,RAB30_HUMAN,GTPase
Q86YS6,RAB43_HUMAN,GTPase
A4D1S5,RAB19_HUMAN,GTPase
Q9NP72,RAB18_HUMAN,GTPase
Q15286,RAB35_HUMAN,GTPase
P59190,RAB15_HUMAN,GTPase
P57735,RAB25_HUMAN,GTPase
P62491,RB11A_HUMAN,GTPase
Q15907,RB11B_HUMAN,GTPase
Q8WUD1,RAB2B_HUMAN,GTPase
P61019,RAB2A_HUMAN,GTPase
P61106,RAB14_HUMAN,GTPase
P20338,RAB4A_HUMAN,GTPase
P61018,RAB4B_HUMAN,GTPase
Q8IXI1,MIRO2_HUMAN,GTPase
Q8IXI2,MIRO1_HUMAN,GTPase
P61224,RAP1B_HUMAN,GTPase
P62834,RAP1A_HUMAN,GTPase
P61225,RAP2B_HUMAN,GTPase
P10114,RAP2A_HUMAN,GTPase
Q9Y3L5,RAP2C_HUMAN,GTPase
P01112,RASH_HUMAN,GTPase
P01116,RASK_HUMAN,GTPase
P01111,RASN_HUMAN,GTPase
P11234,RALB_HUMAN,GTPase
P11233,RALA_HUMAN,GTPase
Q92963,RIT1_HUMAN,GTPase
Q99578,RIT2_HUMAN,GTPase
O14807,RASM_HUMAN,GTPase
P62070,RRAS2_HUMAN,GTPase
P10301,RRAS_HUMAN,GTPase
Q8IYK8,REM2_HUMAN,GTPase
O75628,REM1_HUMAN,GTPase
P55042,RAD_HUMAN,GTPase
P55040,GEM_HUMAN,GTPase
Q6T310,RSLBA_HUMAN,GTPase
Q9BPW5,RSLBB_HUMAN,GTPase
Q9H628,RERGL_HUMAN,GTPase
Q9NYN1,RASLC_HUMAN,GTPase
Q9NYR9,KBRS2_HUMAN,GTPase
Q9NYS0,KBRS1_HUMAN,GTPase
Q96S79,RSLAB_HUMAN,GTPase
Q92737,RSLAA_HUMAN,GTPase
Q9Y272,RASD1_HUMAN,GTPase
Q96D21,RHES_HUMAN,GTPase
O95661,DIRA3_HUMAN,GTPase
O95057,DIRA1_HUMAN,GTPase
Q96HU8,DIRA2_HUMAN,GTPase
Q7Z444,RASE_HUMAN,GTPase
Q96A58,RERG_HUMAN,GTPase
Q8TAI7,REBL1_HUMAN,GTPase
Q15382,RHEB_HUMAN,GTPase
O94844,RHBT1_HUMAN,GTPase
Q9BYZ6,RHBT2_HUMAN,GTPase
Q92730,RND1_HUMAN,GTPase
P52198,RND2_HUMAN,GTPase
P61587,RND3_HUMAN,GTPase
Q9H4E5,RHOJ_HUMAN,GTPase
P17081,RHOQ_HUMAN,GTPase
P15153,RAC2_HUMAN,GTPase
P60763,RAC3_HUMAN,GTPase
P63000,RAC1_HUMAN,GTPase
P84095,RHOG_HUMAN,GTPase
P60953,CDC42_HUMAN,GTPase
P62745,RHOB_HUMAN,GTPase
P61586,RHOA_HUMAN,GTPase
P08134,RHOC_HUMAN,GTPase
Q7L0Q8,RHOU_HUMAN,GTPase
Q96L33,RHOV_HUMAN,GTPase
Q15669,RHOH_HUMAN,GTPase
O00212,RHOD_HUMAN,GTPase
Q9HBH0,RHOF_HUMAN,GTPase
Q9H4B7,TBB1_HUMAN,Beta-tubulin
Q3ZCM7,TBB8_HUMAN,Beta-tubulin
A6NNZ2,TBB8B_HUMAN,Beta-tubulin
Q13509,TBB3_HUMAN,Beta-tubulin
Q9BUF5,TBB6_HUMAN,Beta-tubulin
Q13885,TBB2A_HUMAN,Beta-tubulin
Q9BVA1,TBB2B_HUMAN,Beta-tubulin
P04350,TBB4A_HUMAN,Beta-tubulin
P07437,TBB5_HUMAN,Beta-tubulin
A6NHL2,TBAL3_HUMAN,Alpha-tubulin
Q9NY65,TBA8_HUMAN,Alpha-tubulin
P68366,TBA4A_HUMAN,Alpha-tubulin
Q9BQE3,TBA1C_HUMAN,Alpha-tubulin
P68363,TBA1B_HUMAN,Alpha-tubulin
Q71U36,TBA1A_HUMAN,Alpha-tubulin
Q6PEY2,TBA3E_HUMAN,Alpha-tubulin
P0DPH7,TBA3C_HUMAN,Alpha-tubulin
P0DPH8,TBA3D_HUMAN,Alpha-tubulin
Q96PQ7,KLHL5_HUMAN,Actin-binding
Q9NR64,KLHL1_HUMAN,Actin-binding
Q9C0H6,KLHL4_HUMAN,Actin-binding
O95198,KLHL2_HUMAN,Actin-binding
Q9UH77,KLHL3_HUMAN,Actin-binding
Q9P2G9,KLHL8_HUMAN,Actin-binding
Q9Y2M5,KLH20_HUMAN,Actin-binding
Q6TDP4,KLH17_HUMAN,Actin-binding
Q9NXS3,KLH28_HUMAN,Actin-binding
Q53G59,KLH12_HUMAN,Actin-binding
O94889,KLH18_HUMAN,Actin-binding
Q8IXQ5,KLHL7_HUMAN,Actin-binding
Q6JEL2,KLH10_HUMAN,Actin-binding
Q14145,KEAP1_HUMAN,Actin-binding
Q9Y573,IPP_HUMAN,Actin-binding
Q9P2J3,KLHL9_HUMAN,Actin-binding
Q9P2N7,KLH13_HUMAN,Actin-binding
Q8N239,KLH34_HUMAN,Actin-binding
Q53GT1,KLH22_HUMAN,Actin-binding
Q96M94,KLH15_HUMAN,Actin-binding
Q9P2G3,KLH14_HUMAN,Actin-binding
Q9H511,KLH31_HUMAN,Actin-binding
Q96NJ5,KLH32_HUMAN,Actin-binding
Q8N4N3,KLH36_HUMAN,Actin-binding
Q53HC5,KLH26_HUMAN,Actin-binding
Q86V97,KBTB6_HUMAN,Actin-binding
Q8WVZ9,KBTB7_HUMAN,Actin-binding
Q96CT2,KLH29_HUMAN,Actin-binding
Q8WZ60,KLHL6_HUMAN,Actin-binding
Q6PF15,KLH35_HUMAN,Actin-binding
Q6TFL4,KLH24_HUMAN,Actin-binding
Q2WGJ6,KLH38_HUMAN,Actin-binding
Q8NBE8,KLH23_HUMAN,Actin-binding
Q0D2K2,KLH30_HUMAN,Actin-binding
Q9UJP4,KLH21_HUMAN,Actin-binding
O60662,KLH41_HUMAN,Actin-binding
Q2TBA0,KLH40_HUMAN,Actin-binding
Q9Y6Y0,NS1BP_HUMAN,Actin-binding
Q8NFY9,KBTB8_HUMAN,Actin-binding
Q8IY47,KBTB2_HUMAN,Actin-binding
Q9H2C0,GAN_HUMAN,Actin-binding
Q8NAB2,KBTB3_HUMAN,Actin-binding
Q3ZCT8,KBTBC_HUMAN,Actin-binding
O95342,ABCBB_HUMAN,ATP-dependent Transporter
Q2M3G0,ABCB5_HUMAN,ATP-dependent Transporter
P21439,MDR3_HUMAN,ATP-dependent Transporter
P08183,MDR1_HUMAN,ATP-dependent Transporter
Q09428,ABCC8_HUMAN,ATP-dependent Transporter
O60706,ABCC9_HUMAN,ATP-dependent Transporter
O95255,MRP6_HUMAN,ATP-dependent Transporter
Q92887,MRP2_HUMAN,ATP-dependent Transporter
O15438,MRP3_HUMAN,ATP-dependent Transporter
P33527,MRP1_HUMAN,ATP-dependent Transporter
Q96J65,MRP9_HUMAN,ATP-dependent Transporter
O15440,MRP5_HUMAN,ATP-dependent Transporter
O15439,MRP4_HUMAN,ATP-dependent Transporter
Q5T3U5,MRP7_HUMAN,ATP-dependent Transporter
Q8NDA2,HMCN2_HUMAN,
Q58EX2,SDK2_HUMAN,Cell-Cell Adhesion
Q7Z5N4,SDK1_HUMAN,Cell-Cell Adhesion
Q6WRI0,IGS10_HUMAN,Cell-Cell Adhesion
Q9NR99,MXRA5_HUMAN,Cell-Cell Adhesion
Q8TD84,DSCL1_HUMAN,Cell-Cell Adhesion
O60469,DSCAM_HUMAN,Cell-Cell Adhesion
Q02246,CNTN2_HUMAN,Cell-Cell Adhesion
Q12860,CNTN1_HUMAN,Cell-Cell Adhesion
O94779,CNTN5_HUMAN,Cell-Cell Adhesion
Q9UQ52,CNTN6_HUMAN,Cell-Cell Adhesion
Q8IWV2,CNTN4_HUMAN,Cell-Cell Adhesion
Q9P232,CNTN3_HUMAN,Cell-Cell Adhesion
Q9Y6N7,ROBO1_HUMAN,Cell-Cell Adhesion
Q96MS0,ROBO3_HUMAN,Cell-Cell Adhesion
Q9HCK4,ROBO2_HUMAN,Cell-Cell Adhesion
O94856,NFASC_HUMAN,Cell-Cell Adhesion
Q92823,NRCAM_HUMAN,Cell-Cell Adhesion
O00533,NCHL1_HUMAN,Cell-Cell Adhesion
P32004,L1CAM_HUMAN,Cell-Cell Adhesion
Q92859,NEO1_HUMAN,Cell-Cell Adhesion
P43146,DCC_HUMAN,Cell-Cell Adhesion
Q9P2J2,TUTLA_HUMAN,Cell-Cell Adhesion
Q9UPX0,TUTLB_HUMAN,Cell-Cell Adhesion
Q8TDY8,IGDC4_HUMAN,Cell-Cell Adhesion
Q2VWP7,PRTG_HUMAN,Cell-Cell Adhesion
Q8IVU1,IGDC3_HUMAN,Cell-Cell Adhesion
Q4KMG0,CDON_HUMAN,Cell-Cell Adhesion
Q9BWV1,BOC_HUMAN,Cell-Cell Adhesion
P23634,AT2B4_HUMAN,ATP-dependent Ca2+ Transporter
P20020,AT2B1_HUMAN,ATP-dependent Ca2+ Transporter
Q01814,AT2B2_HUMAN,ATP-dependent Ca2+ Transporter
Q16720,AT2B3_HUMAN,ATP-dependent Ca2+ Transporter
Q13733,AT1A4_HUMAN,ATP-dependent Ca2+ Transporter
P05023,AT1A1_HUMAN,ATP-dependent Ca2+ Transporter
P50993,AT1A2_HUMAN,ATP-dependent Ca2+ Transporter
P13637,AT1A3_HUMAN,ATP-dependent Ca2+ Transporter
P54707,AT12A_HUMAN,ATP-dependent Ca2+ Transporter
P20648,ATP4A_HUMAN,ATP-dependent Ca2+ Transporter
P22459,KCNA4_HUMAN,Voltage-Gated Potassium Channel
P22460,KCNA5_HUMAN,Voltage-Gated Potassium Channel
P22001,KCNA3_HUMAN,Voltage-Gated Potassium Channel
Q09470,KCNA1_HUMAN,Voltage-Gated Potassium Channel
P16389,KCNA2_HUMAN,Voltage-Gated Potassium Channel
Q16322,KCA10_HUMAN,Voltage-Gated Potassium Channel
P17658,KCNA6_HUMAN,Voltage-Gated Potassium Channel
Q96RP8,KCNA7_HUMAN,Voltage-Gated Potassium Channel
Q14721,KCNB1_HUMAN,Voltage-Gated Potassium Channel
Q92953,KCNB2_HUMAN,Voltage-Gated Potassium Channel
Q9UJ96,KCNG2_HUMAN,Voltage-Gated Potassium Channel
Q8TDN1,KCNG4_HUMAN,Voltage-Gated Potassium Channel
Q9UIX4,KCNG1_HUMAN,Voltage-Gated Potassium Channel
Q96KK3,KCNS1_HUMAN,Voltage-Gated Potassium Channel
Q9BQ31,KCNS3_HUMAN,Voltage-Gated Potassium Channel
Q9ULS6,KCNS2_HUMAN,Voltage-Gated Potassium Channel
Q8TDN2,KCNV2_HUMAN,Voltage-Gated Potassium Channel
Q9H3M0,KCNF1_HUMAN,Voltage-Gated Potassium Channel
Q8TAE7,KCNG3_HUMAN,Voltage-Gated Potassium Channel
Q6PIU1,KCNV1_HUMAN,Voltage-Gated Potassium Channel
Q9NSA2,KCND1_HUMAN,Voltage-Gated Potassium Channel
Q9NZV8,KCND2_HUMAN,Voltage-Gated Potassium Channel
Q9UK17,KCND3_HUMAN,Voltage-Gated Potassium Channel
Q14003,KCNC3_HUMAN,Voltage-Gated Potassium Channel
Q03721,KCNC4_HUMAN,Voltage-Gated Potassium Channel
P48547,KCNC1_HUMAN,Voltage-Gated Potassium Channel
Q96PR1,KCNC2_HUMAN,Voltage-Gated Potassium Channel
Q9P0X4,CAC1I_HUMAN,Voltage-Gated Calcium Channel
O95180,CAC1H_HUMAN,Voltage-Gated Calcium Channel
O43497,CAC1G_HUMAN,Voltage-Gated Calcium Channel
Q7Z6Z7,HUWE1_HUMAN,Sodium-dependent Transporter
Q9NP91,S6A20_HUMAN,Sodium-dependent Transporter
Q695T7,S6A19_HUMAN,Sodium-dependent Transporter
Q96N87,S6A18_HUMAN,Sodium-dependent Transporter
Q9GZN6,S6A16_HUMAN,Sodium-dependent Transporter
Q9H2J7,S6A15_HUMAN,Sodium-dependent Transporter
Q9H1V8,S6A17_HUMAN,Sodium-dependent Transporter
P31641,SC6A6_HUMAN,Sodium-dependent Transporter
P48066,S6A11_HUMAN,Sodium-dependent Transporter
P48065,S6A12_HUMAN,Sodium-dependent Transporter
Q9NSD5,S6A13_HUMAN,Sodium-dependent Transporter
P30531,SC6A1_HUMAN,Sodium-dependent Transporter
P48029,SC6A8_HUMAN,Sodium-dependent Transporter
P31645,SC6A4_HUMAN,Sodium-dependent Transporter
P23975,SC6A2_HUMAN,Sodium-dependent Transporter
Q01959,SC6A3_HUMAN,Sodium-dependent Transporter
Q9Y345,SC6A5_HUMAN,Sodium-dependent Transporter
Q9UN76,S6A14_HUMAN,Sodium-dependent Transporter
Q99884,SC6A7_HUMAN,Sodium-dependent Transporter
P48067,SC6A9_HUMAN,Sodium-dependent Transporter
Q14957,NMDE3_HUMAN,Ionotropic Glutamate Receptor
O15399,NMDE4_HUMAN,Ionotropic Glutamate Receptor
Q13224,NMDE2_HUMAN,Ionotropic Glutamate Receptor
Q12879,NMDE1_HUMAN,Ionotropic Glutamate Receptor
P42261,GRIA1_HUMAN,Ionotropic Glutamate Receptor
P48058,GRIA4_HUMAN,Ionotropic Glutamate Receptor
P42262,GRIA2_HUMAN,Ionotropic Glutamate Receptor
P42263,GRIA3_HUMAN,Ionotropic Glutamate Receptor
P39086,GRIK1_HUMAN,Ionotropic Glutamate Receptor
Q13002,GRIK2_HUMAN,Ionotropic Glutamate Receptor
Q13003,GRIK3_HUMAN,Ionotropic Glutamate Receptor
Q16099,GRIK4_HUMAN,Ionotropic Glutamate Receptor
Q16478,GRIK5_HUMAN,Ionotropic Glutamate Receptor
P78527,PRKDC_HUMAN,Ionotropic Serotonin Receptor
Q70Z44,5HT3D_HUMAN,Ionotropic Serotonin Receptor
Q8WXA8,5HT3C_HUMAN,Ionotropic Serotonin Receptor
O95264,5HT3B_HUMAN,Ionotropic Serotonin Receptor
P46098,5HT3A_HUMAN,Ionotropic Serotonin Receptor
P17787,ACHB2_HUMAN,Ionotropic Acetylcholine Receptor
P30926,ACHB4_HUMAN,Ionotropic Acetylcholine Receptor
P02708,ACHA_HUMAN,Ionotropic Acetylcholine Receptor
P30532,ACHA5_HUMAN,Ionotropic Acetylcholine Receptor
Q05901,ACHB3_HUMAN,Ionotropic Acetylcholine Receptor
P43681,ACHA4_HUMAN,Ionotropic Acetylcholine Receptor
Q15822,ACHA2_HUMAN,Ionotropic Acetylcholine Receptor
P32297,ACHA3_HUMAN,Ionotropic Acetylcholine Receptor
Q15825,ACHA6_HUMAN,Ionotropic Acetylcholine Receptor
P11230,ACHB_HUMAN,Ionotropic Acetylcholine Receptor
Q07001,ACHD_HUMAN,Ionotropic Acetylcholine Receptor
Q04844,ACHE_HUMAN,Ionotropic Acetylcholine Receptor
P07510,ACHG_HUMAN,Ionotropic Acetylcholine Receptor
Q494W8,CRFM7_HUMAN,Ionotropic Acetylcholine Receptor
P36544,ACHA7_HUMAN,Ionotropic Acetylcholine Receptor
Q9GZZ6,ACH10_HUMAN,Ionotropic Acetylcholine Receptor
Q9UGM1,ACHA9_HUMAN,Ionotropic Acetylcholine Receptor
P34903,GBRA3_HUMAN,Ionotropic GABA Receptor
P31644,GBRA5_HUMAN,Ionotropic GABA Receptor
P47869,GBRA2_HUMAN,Ionotropic GABA Receptor
P14867,GBRA1_HUMAN,Ionotropic GABA Receptor
P48169,GBRA4_HUMAN,Ionotropic GABA Receptor
Q16445,GBRA6_HUMAN,Ionotropic GABA Receptor
P78334,GBRE_HUMAN,Ionotropic GABA Receptor
Q99928,GBRG3_HUMAN,Ionotropic GABA Receptor
Q8N1C3,GBRG1_HUMAN,Ionotropic GABA Receptor
P18507,GBRG2_HUMAN,Ionotropic GABA Receptor
P23416,GLRA2_HUMAN,Ionotropic Glycine Receptor
O75311,GLRA3_HUMAN,Ionotropic Glycine Receptor
P23415,GLRA1_HUMAN,Ionotropic Glycine Receptor
P47870,GBRB2_HUMAN,Ionotropic GABA Receptor
P28472,GBRB3_HUMAN,Ionotropic GABA Receptor
P18505,GBRB1_HUMAN,Ionotropic GABA Receptor
A8MPY1,GBRR3_HUMAN,Ionotropic GABA Receptor
P24046,GBRR1_HUMAN,Ionotropic GABA Receptor
P28476,GBRR2_HUMAN,Ionotropic GABA Receptor
Q9UN88,GBRT_HUMAN,Ionotropic GABA Receptor
P48167,GLRB_HUMAN,Ionotropic Glycine Receptor
O00591,GBRP_HUMAN,Ionotropic GABA Receptor
O14764,GBRD_HUMAN,Ionotropic GABA Receptor
P41594,GRM5_HUMAN,Metabotropic Glutamate Receptor
Q13255,GRM1_HUMAN,Metabotropic Glutamate Receptor
Q14416,GRM2_HUMAN,Metabotropic Glutamate Receptor
Q14832,GRM3_HUMAN,Metabotropic Glutamate Receptor
O15303,GRM6_HUMAN,Metabotropic Glutamate Receptor
Q14831,GRM7_HUMAN,Metabotropic Glutamate Receptor
Q14833,GRM4_HUMAN,Metabotropic Glutamate Receptor
O00222,GRM8_HUMAN,Metabotropic Glutamate Receptor
P34931,HS71L_HUMAN,Chaperone
P0DMV8,HS71A_HUMAN,Chaperone
P0DMV9,HS71B_HUMAN,Chaperone
P17066,HSP76_HUMAN,Chaperone
P11142,HSP7C_HUMAN,Chaperone
P54652,HSP72_HUMAN,Chaperone
Q92598,HS105_HUMAN,Chaperone
O95757,HS74L_HUMAN,Chaperone
P34932,HSP74_HUMAN,Chaperone
Q9Y4L1,HYOU1_HUMAN,Chaperone
Q0VDF9,HSP7E_HUMAN,Chaperone
P48723,HSP13_HUMAN,Chaperone
P38646,GRP75_HUMAN,Chaperone
P11021,BIP_HUMAN,Chaperone
Q9Y4A5,TRRAP_HUMAN,TRP Channel
O94759,TRPM2_HUMAN,TRP Channel
Q7Z2W7,TRPM8_HUMAN,TRP Channel
Q9NZQ8,TRPM5_HUMAN,TRP Channel
Q8TD43,TRPM4_HUMAN,TRP Channel
Q7Z4N2,TRPM1_HUMAN,TRP Channel
Q9HCF6,TRPM3_HUMAN,TRP Channel
Q96QT4,TRPM7_HUMAN,TRP Channel
Q9BX84,TRPM6_HUMAN,TRP Channel
O75077,ADA23_HUMAN,Protease
O75078,ADA11_HUMAN,Protease
Q9P0K1,ADA22_HUMAN,Protease
P78325,ADAM8_HUMAN,Protease
O15204,ADEC1_HUMAN,Protease
Q9UKQ2,ADA28_HUMAN,Protease
Q9H2U9,ADAM7_HUMAN,Protease
Q13444,ADA15_HUMAN,Protease
O43184,ADA12_HUMAN,Protease
Q9BZ11,ADA33_HUMAN,Protease
Q9H013,ADA19_HUMAN,Protease
Q8TC27,ADA32_HUMAN,Protease
Q9Y3Q7,ADA18_HUMAN,Protease
Q99965,ADAM2_HUMAN,Protease
