Ensembl_Protein,Entry,Entry name
ENSP00000352673,P78545,ELF3_HUMAN
ENSP00000352900,P48443,RXRG_HUMAN
ENSP00000353292,P37088,SCNNA_HUMAN
ENSP00000353344,P15036,ETS2_HUMAN
ENSP00000353650,A6NFH5,FBP12_HUMAN
ENSP00000353679,P08473,NEP_HUMAN
ENSP00000353767,Q9ULZ9,MMP17_HUMAN
ENSP00000353824,Q86V86,PIM3_HUMAN
ENSP00000354207,Q16288,NTRK3_HUMAN
ENSP00000354607,Q13467,FZD5_HUMAN
ENSP00000354621,Q9HCE7,SMUF1_HUMAN
ENSP00000354652,P25929,NPY1R_HUMAN
ENSP00000354927,Q99759,M3K3_HUMAN
ENSP00000354932,Q15399,TLR1_HUMAN
ENSP00000355155,Q8TCU5,NMD3A_HUMAN
ENSP00000355480,Q5VUJ9,DRC8_HUMAN
ENSP00000355583,Q5TCX8,M3K21_HUMAN
ENSP00000355627,P01019,ANGT_HUMAN
ENSP00000355637,Q9NRK6,ABCBA_HUMAN
ENSP00000355656,Q7L7L0,H2A3_HUMAN
ENSP00000355747,P49810,PSN2_HUMAN
ENSP00000355785,O00292,LFTY2_HUMAN
ENSP00000355896,P61812,TGFB2_HUMAN
ENSP00000355920,O15244,S22A2_HUMAN
ENSP00000355930,O15245,S22A1_HUMAN
ENSP00000356076,O43781,DYRK3_HUMAN
ENSP00000356125,Q9H093,NUAK2_HUMAN
ENSP00000356230,Q53G59,KLH12_HUMAN
ENSP00000356233,Q9UGL1,KDM5B_HUMAN
ENSP00000356480,Q99496,RING2_HUMAN
ENSP00000356671,P01008,ANT3_HUMAN
ENSP00000356708,Q7RTU3,OLIG3_HUMAN
ENSP00000356899,Q16832,DDR2_HUMAN
ENSP00000356908,Q9P1P5,TAAR2_HUMAN
ENSP00000356919,P18850,ATF6A_HUMAN
ENSP00000356981,Q9UK80,UBP21_HUMAN
ENSP00000357175,P41162,ETV3_HUMAN
ENSP00000357178,P14616,INSRR_HUMAN
ENSP00000357342,Q9P1Z3,HCN3_HUMAN
ENSP00000357494,P08922,ROS1_HUMAN
ENSP00000357668,O43184,ADA12_HUMAN
ENSP00000357844,Q8TF71,MOT10_HUMAN
ENSP00000357869,A0A0B4J1S8,A0A0B4J1S8_HUMAN
ENSP00000357883,Q99755,PI51A_HUMAN
ENSP00000357915,Q86VW1,S22AG_HUMAN
ENSP00000357979,Q9Y466,NR2E1_HUMAN
ENSP00000358042,Q9H0R6,GATA_HUMAN
ENSP00000358105,Q96BI3,APH1A_HUMAN
"ENSP00000358155,ENSP00000475814",Q6FI13,H2A2A_HUMAN
ENSP00000358262,Q86WJ1,CHD1L_HUMAN
ENSP00000358309,Q15375,EPHA7_HUMAN
ENSP00000358407,Q9UKF2,ADA30_HUMAN
ENSP00000358515,Q8IZD6,S22AF_HUMAN
ENSP00000358548,P01111,RASN_HUMAN
ENSP00000358770,Q9H2G2,SLK_HUMAN
ENSP00000358786,Q16322,KCA10_HUMAN
ENSP00000358794,O15374,MOT5_HUMAN
ENSP00000358802,Q03721,KCNC4_HUMAN
ENSP00000358862,Q9BYE7,PCGF6_HUMAN
ENSP00000358997,P51617,IRAK1_HUMAN
ENSP00000359000,A0A7P0RGV0,A0A7P0RGV0_HUMAN
ENSP00000359300,P41208,CETN2_HUMAN
ENSP00000359484,Q8IYB5,SMAP1_HUMAN
ENSP00000359621,Q8TDD5,MCLN3_HUMAN
ENSP00000359640,Q8IZK6,MCLN2_HUMAN
ENSP00000359866,P22003,BMP5_HUMAN
ENSP00000360129,A8K855,EFCB7_HUMAN
ENSP00000360154,Q01968,OCRL_HUMAN
ENSP00000360165,Q8TDG2,ACTT1_HUMAN
ENSP00000360181,O60880,SH21A_HUMAN
ENSP00000360247,P51589,CP2J2_HUMAN
ENSP00000360372,P33261,CP2CJ_HUMAN
ENSP00000360493,Q13950,RUNX2_HUMAN
ENSP00000360502,P51160,PDE6C_HUMAN
ENSP00000360576,Q9UHB4,NDOR1_HUMAN
ENSP00000360609,P08238,HS90B_HUMAN
ENSP00000360626,Q9UIX4,KCNG1_HUMAN
ENSP00000360806,Q14721,KCNB1_HUMAN
ENSP00000360855,Q6ZSM3,MOT12_HUMAN
ENSP00000361120,Q12967,GNDS_HUMAN
ENSP00000361158,Q96S53,TESK2_HUMAN
ENSP00000361405,P14780,MMP9_HUMAN
ENSP00000361554,P35590,TIE1_HUMAN
ENSP00000361666,Q9Y694,S22A7_HUMAN
ENSP00000361915,P34820,BMP8B_HUMAN
ENSP00000362057,Q9Y5S8,NOX1_HUMAN
ENSP00000362082,P30281,CCND3_HUMAN
ENSP00000362139,Q5JZY3,EPHAA_HUMAN
ENSP00000362183,Q13003,GRIK3_HUMAN
ENSP00000362330,Q8TD26,CHD6_HUMAN
ENSP00000362339,Q9NR31,SAR1A_HUMAN
ENSP00000362352,Q9P0M6,H2AW_HUMAN
ENSP00000362361,P50750,CDK9_HUMAN
ENSP00000362441,P46100,ATRX_HUMAN
ENSP00000362608,P11309,PIM1_HUMAN
ENSP00000362634,Q96PN8,TSSK3_HUMAN
ENSP00000362649,Q13547,HDAC1_HUMAN
ENSP00000362777,Q8N100,ATOH7_HUMAN
ENSP00000362946,P61106,RAB14_HUMAN
ENSP00000363089,O00206,TLR4_HUMAN
ENSP00000363207,A6NIR3,AGAP5_HUMAN
ENSP00000363229,Q16572,VACHT_HUMAN
ENSP00000363414,Q86WK9,PAQR7_HUMAN
ENSP00000363431,P50391,NPY4R_HUMAN
ENSP00000363492,P43026,GDF5_HUMAN
ENSP00000363524,O95239,KIF4A_HUMAN
ENSP00000363583,Q8N9B8,RGF1A_HUMAN
ENSP00000363708,Q13873,BMPR2_HUMAN
ENSP00000363787,Q06587,RING1_HUMAN
ENSP00000363799,Q9Y614,ACL7B_HUMAN
ENSP00000363817,P28702,RXRB_HUMAN
ENSP00000363826,Q9H461,FZD8_HUMAN
ENSP00000364028,P42892,ECE1_HUMAN
ENSP00000364032,Q03519,TAP2_HUMAN
ENSP00000364349,Q99941,ATF6B_HUMAN
ENSP00000364361,Q9NYL2,M3K20_HUMAN
ENSP00000364412,P37058,DHB3_HUMAN
ENSP00000364464,Q8N6M6,AMPO_HUMAN
ENSP00000364486,O00757,F16P2_HUMAN
ENSP00000364550,P41229,KDM5C_HUMAN
ENSP00000364886,P61587,RND3_HUMAN
ENSP00000365210,Q8WWL7,CCNB3_HUMAN
ENSP00000365692,Q9P1W9,PIM2_HUMAN
ENSP00000365757,P48426,PI42A_HUMAN
ENSP00000365891,P42768,WASP_HUMAN
ENSP00000366182,P19419,ELK1_HUMAN
ENSP00000366271,Q8NHM5,KDM2B_HUMAN
ENSP00000366314,Q9HCF6,TRPM3_HUMAN
ENSP00000366354,Q9GZK7,O11A1_HUMAN
ENSP00000366679,Q96KK5,H2A1H_HUMAN
ENSP00000366797,Q96S37,S22AC_HUMAN
ENSP00000367001,P42658,DPP6_HUMAN
ENSP00000367022,Q93077,H2A1C_HUMAN
ENSP00000367102,Q4U2R8,S22A6_HUMAN
ENSP00000367157,A6NJW4,LRR3C_HUMAN
ENSP00000367203,O15550,KDM6A_HUMAN
ENSP00000367220,P61160,ARP2_HUMAN
ENSP00000367658,Q8TDY3,ACTT2_HUMAN
ENSP00000367668,Q495T6,MMEL1_HUMAN
ENSP00000367797,P12755,SKI_HUMAN
ENSP00000367851,P04839,CY24B_HUMAN
ENSP00000367942,O60383,GDF9_HUMAN
ENSP00000368104,P12643,BMP2_HUMAN
ENSP00000368362,Q0Z7S8,FABP9_HUMAN
ENSP00000369081,Q8NBS9,TXND5_HUMAN
ENSP00000369154,O15198,SMAD9_HUMAN
ENSP00000369238,Q8TC27,ADA32_HUMAN
ENSP00000369268,Q8IV77,CNGA4_HUMAN
ENSP00000369318,O94955,RHBT3_HUMAN
ENSP00000369375,Q02763,TIE2_HUMAN
ENSP00000369390,O94921,CDK14_HUMAN
ENSP00000369681,Q9Y6I4,UBP3_HUMAN
ENSP00000369689,Q9NZT1,CALL5_HUMAN
ENSP00000370034,Q9NYK1,TLR7_HUMAN
ENSP00000370074,P50453,SPB9_HUMAN
ENSP00000370750,Q8TC12,RDH11_HUMAN
ENSP00000371219,Q15669,RHOH_HUMAN
ENSP00000371514,Q8TDN2,KCNV2_HUMAN
ENSP00000371614,Q8IWQ3,BRSK2_HUMAN
ENSP00000371785,Q8TAK6,OLIG1_HUMAN
ENSP00000371985,Q09470,KCNA1_HUMAN
ENSP00000372218,Q96P63,SPB12_HUMAN
ENSP00000372221,P36952,SPB5_HUMAN
ENSP00000373340,P55201,BRPF1_HUMAN
ENSP00000373574,P37023,ACVL1_HUMAN
ENSP00000373648,O43525,KCNQ3_HUMAN
ENSP00000373691,X6RAN8,X6RAN8_HUMAN
ENSP00000373700,Q9UM73,ALK_HUMAN
ENSP00000374323,A0A0B4J1T8,A0A0B4J1T8_HUMAN
ENSP00000375081,Q9BXA7,TSSK1_HUMAN
ENSP00000375986,Q9Y6R4,M3K4_HUMAN
ENSP00000376184,Q02338,BDH_HUMAN
ENSP00000376317,Q9H2K8,TAOK3_HUMAN
ENSP00000376349,O95848,NUD14_HUMAN
ENSP00000376352,Q15118,PDK1_HUMAN
ENSP00000376436,P14921,ETS1_HUMAN
ENSP00000376855,Q8N608,DPP10_HUMAN
ENSP00000377075,Q3MIN7,RGL3_HUMAN
ENSP00000377233,Q96P48,ARAP1_HUMAN
ENSP00000377262,P78362,SRPK2_HUMAN
ENSP00000377508,P14923,PLAK_HUMAN
ENSP00000377549,P51161,FABP6_HUMAN
ENSP00000377769,Q3SXY8,AR13B_HUMAN
ENSP00000377797,Q70CQ1,UBP49_HUMAN
ENSP00000377900,P07098,LIPG_HUMAN
ENSP00000377934,Q2M1P5,KIF7_HUMAN
ENSP00000378056,O60658,PDE8A_HUMAN
ENSP00000378195,O95800,GPR75_HUMAN
ENSP00000378306,P16298,PP2BB_HUMAN
ENSP00000378338,Q9Y2X7,GIT1_HUMAN
ENSP00000378356,O95235,KI20A_HUMAN
ENSP00000378476,Q5MAI5,CDKL4_HUMAN
ENSP00000378624,Q5GLZ8,HERC4_HUMAN
ENSP00000378690,Q9BXU9,CABP8_HUMAN
ENSP00000378699,P06493,CDK1_HUMAN
ENSP00000378757,Q7RTY1,MOT9_HUMAN
ENSP00000378769,P62140,PP1B_HUMAN
ENSP00000378803,Q9NXK6,PAQR5_HUMAN
ENSP00000379204,P18075,BMP7_HUMAN
ENSP00000379350,P05556,ITB1_HUMAN
ENSP00000379503,Q9P0J1,PDP1_HUMAN
ENSP00000379658,P41212,ETV6_HUMAN
ENSP00000379721,P40818,UBP8_HUMAN
ENSP00000379880,Q96PB8,LRC3B_HUMAN
ENSP00000379898,P40617,ARL4A_HUMAN
ENSP00000379975,Q13418,ILK_HUMAN
ENSP00000380027,Q96LJ7,DHRS1_HUMAN
ENSP00000380044,P49674,KC1E_HUMAN
ENSP00000380070,P04406,G3P_HUMAN
ENSP00000380271,Q8WZA2,RPGF4_HUMAN
ENSP00000380413,Q96P47,AGAP3_HUMAN
ENSP00000380437,Q8WUG5,S22AH_HUMAN
ENSP00000380635,Q0P5N6ARL16_HUMAN,
ENSP00000380692,Q6ZMT4,KDM7A_HUMAN
ENSP00000380878,P48454,PP2BC_HUMAN
ENSP00000380948,P05107,ITB2_HUMAN
ENSP00000381026,E9PGK7,E9PGK7_HUMAN
ENSP00000381097,P54762,EPHB1_HUMAN
ENSP00000381101,O75635,SPB7_HUMAN
ENSP00000381206,O75452,RDH16_HUMAN
ENSP00000381247,A8MZ26,EFCB9_HUMAN
ENSP00000381531,H7BYT1,H7BYT1_HUMAN
ENSP00000381577,Q70CQ2,UBP34_HUMAN
ENSP00000381785,Q6YN16,HSDL2_HUMAN
ENSP00000382544,Q96PF2,TSSK2_HUMAN
ENSP00000382770,A8MYU2,KCNU1_HUMAN
ENSP00000382800,Q13761,RUNX3_HUMAN
ENSP00000383042,O60341,KDM1A_HUMAN
ENSP00000383044,Q9UHP3,UBP25_HUMAN
ENSP00000383053,P29323,EPHB2_HUMAN
ENSP00000383234,P31152,MK04_HUMAN
ENSP00000383900,Q5VXJ0,LIPK_HUMAN
ENSP00000383901,Q5VYY2,LIPM_HUMAN
ENSP00000383923,Q5VXI9,LIPN_HUMAN
ENSP00000384126,Q14392,LRC32_HUMAN
ENSP00000384524,O00321,ETV2_HUMAN
ENSP00000384625,Q9UBE8,NLK_HUMAN
ENSP00000384675,Q07889,SOS1_HUMAN
ENSP00000384690,Q8IY49,PAQRA_HUMAN
ENSP00000385000,O00139,KIF2A_HUMAN
ENSP00000385028,A1A5C7,S22AN_HUMAN
ENSP00000385432,Q9Y6B6,SAR1B_HUMAN
ENSP00000385632,Q13946,PDE7A_HUMAN
ENSP00000385795,O94880,PHF14_HUMAN
ENSP00000385808,E9PES4,E9PES4_HUMAN
ENSP00000385886,Q8IV61,GRP3_HUMAN
ENSP00000385968,Q9BQ31,KCNS3_HUMAN
ENSP00000386207,A8MTL9,HMSD_HUMAN
ENSP00000387046,Q96MI6,PPM1M_HUMAN
ENSP00000387246,Q9Y2U5,M3K2_HUMAN
ENSP00000388744,P55042,RAD_HUMAN
ENSP00000389015,P0C263,SBK2_HUMAN
ENSP00000389095,Q15438,CYH1_HUMAN
ENSP00000389443,C9JPN9,UL17C_HUMAN
ENSP00000389600,Q9Y2C9,TLR6_HUMAN
ENSP00000390535,F8WBA3,F8WBA3_HUMAN
ENSP00000390564,O15375,MOT6_HUMAN
ENSP00000391806,E7ENX8,E7ENX8_HUMAN
ENSP00000392147,O00743,PPP6_HUMAN
ENSP00000392206,Q5VTM2,AGAP9_HUMAN
ENSP00000392513,Q96P64,AGAP4_HUMAN
ENSP00000393316,Q9H3N1,TMX1_HUMAN
ENSP00000393379,O60282,KIF5C_HUMAN
ENSP00000393541,Q9BW83,IFT27_HUMAN
ENSP00000393978,Q9BZL6,KPCD2_HUMAN
ENSP00000395708,O95398,RPGF3_HUMAN
ENSP00000395929,Q96L73,NSD1_HUMAN
ENSP00000396345,Q3L8U1,CHD9_HUMAN
ENSP00000396755,Q9H8S5,CCNP_HUMAN
ENSP00000397026,Q13002,GRIK2_HUMAN
ENSP00000397050,Q8N819,PPM1N_HUMAN
ENSP00000397087,Q00534,CDK6_HUMAN
ENSP00000397133,Q9UGI9,AAKG3_HUMAN
ENSP00000397239,B2RXH2,KDM4E_HUMAN
ENSP00000398637,Q5H913,AR13A_HUMAN
ENSP00000398837,Q9UMN6,KMT2B_HUMAN
ENSP00000398880,Q9NYV4,CDK12_HUMAN
ENSP00000399136,P48065,S6A12_HUMAN
ENSP00000399511,Q9UKE5,TNIK_HUMAN
ENSP00000400376,Q6P179,ERAP2_HUMAN
ENSP00000400385,Q9NYS0,KBRS1_HUMAN
ENSP00000400880,C9JVI0,U17LB_HUMAN
ENSP00000401645,P05120,PAI2_HUMAN
ENSP00000401888,P04049,RAF1_HUMAN
ENSP00000402154,Q02080,MEF2B_HUMAN
ENSP00000402510,Q9UBK8,MTRR_HUMAN
ENSP00000402760,O76082,S22A5_HUMAN
ENSP00000403760,C9JJH3,U17LA_HUMAN
ENSP00000403932,Q8N7B9,EFCB3_HUMAN
ENSP00000405004,Q04771,ACVR1_HUMAN
ENSP00000405841,B4DGP2,B4DGP2_HUMAN
ENSP00000405963,Q13972,RGRF1_HUMAN
ENSP00000406197,Q8TEZ7,PAQR8_HUMAN
ENSP00000406472,Q96Q40,CDK15_HUMAN
ENSP00000407586,P01112,RASH_HUMAN
ENSP00000408025,P09467,F16P1_HUMAN
ENSP00000408617,Q9UKV0,HDAC9_HUMAN
ENSP00000408695,P17252,KPCA_HUMAN
ENSP00000409667,J3KQV8,J3KQV8_HUMAN
ENSP00000410042,O95696,BRD1_HUMAN
ENSP00000410294,P21802,FGFR2_HUMAN
ENSP00000410402,P45985,MP2K4_HUMAN
ENSP00000410561,Q00526,CDK3_HUMAN
ENSP00000410621,C9J2P7,U17LF_HUMAN
ENSP00000410715,Q6FHJ7,SFRP4_HUMAN
ENSP00000411565,A0PJE2,DHR12_HUMAN
ENSP00000411565,A0A8C8L8Z5,A0A8C8L8Z5_HUMAN
ENSP00000411821,P30838,AL3A1_HUMAN
ENSP00000413937,Q9BT40,INP5K_HUMAN
ENSP00000414150,P11308,ERG_HUMAN
ENSP00000414392,C9JLJ4,U17LD_HUMAN
ENSP00000414922,Q3LFD5,UBP41_HUMAN
ENSP00000415243,P12757,SKIL_HUMAN
ENSP00000415434,Q9NVE5,UBP40_HUMAN
ENSP00000415786,P07093,GDN_HUMAN
ENSP00000416066,P01009,A1AT_HUMAN
ENSP00000416683,P35858,ALS_HUMAN
ENSP00000418447,P67775,PP2AA_HUMAN
ENSP00000419060,H7C560,H7C560_HUMAN
ENSP00000419081,A0A804DNR1,A0A804DNR1_HUMAN
ENSP00000419446,Q13443,ADAM9_HUMAN
ENSP00000419619,Q9H0F7,ARL6_HUMAN
ENSP00000419628,Q9UKK9,NUDT5_HUMAN
ENSP00000419692,P19793,RXRA_HUMAN
ENSP00000419782,Q00535,CDK5_HUMAN
ENSP00000420211,O15211,RGL2_HUMAN
ENSP00000420295,P35913,PDE6B_HUMAN
ENSP00000420854,Q6NXP0,EFC12_HUMAN
ENSP00000420927,Q15119,PDK2_HUMAN
ENSP00000422216,D6R901,U17LL_HUMAN
ENSP00000422449,H0Y8X5,H0Y8X5_HUMAN
ENSP00000422621,D6RBQ6,U17LH_HUMAN
ENSP00000423115,D6RA61,U17LM_HUMAN
ENSP00000423325,A0A0B4J203,A0A0B4J203_HUMAN
ENSP00000423333,Q70EK9,UBP51_HUMAN
ENSP00000423503,D6R9N7,U17LI_HUMAN
ENSP00000424077,D6RBM5,U17LN_HUMAN
ENSP00000424607,Q96RI9,TAAR9_HUMAN
ENSP00000424757,Q96PY6,NEK1_HUMAN
ENSP00000424827,P46934,NEDD4_HUMAN
"ENSP00000425375,ENSP00000427366,ENSP00000423777,ENSP00000422969,ENSP00000422097,ENSP00000422887,ENSP00000423211",Q0WX57,U17LO_HUMAN
ENSP00000425582,D6RCP7,U17LJ_HUMAN
ENSP00000425955,A8MUK1,U17L5_HUMAN
ENSP00000426862,P29973,CNGA1_HUMAN
ENSP00000426948,E9PCH4,E9PCH4_HUMAN
ENSP00000427264,D6RJB6,U17LK_HUMAN
ENSP00000427552,Q08345,DDR1_HUMAN
ENSP00000427882,Q7Z5J8,ANKAR_HUMAN
ENSP00000427926,Q9BYZ6,RHBT2_HUMAN
ENSP00000428259,E5RJF8,E5RJF8_HUMAN
ENSP00000428316,A8MV23,SERP3_HUMAN
ENSP00000428994,P42261,GRIA1_HUMAN
ENSP00000429089,O96020,CCNE2_HUMAN
ENSP00000429744,Q13188,STK3_HUMAN
ENSP00000429900,Q9ULH1,ASAP1_HUMAN
ENSP00000430846,Q92953,KCNB2_HUMAN
ENSP00000431418,P04629,NTRK1_HUMAN
ENSP00000431876,Q9P2H5,UBP35_HUMAN
ENSP00000432786,Q9Y2K7,KDM2A_HUMAN
ENSP00000434024,P16104,H2AX_HUMAN
ENSP00000434034,Q9ULV1,FZD4_HUMAN
ENSP00000434241,Q14003,KCNC3_HUMAN
ENSP00000434412,P50454,SERPH_HUMAN
ENSP00000434676,Q70EL3,UBP50_HUMAN
ENSP00000434830,Q7Z2Y5,NRK_HUMAN
ENSP00000434847,Q8WUA8,TSK_HUMAN
ENSP00000435189,Q15771,RAB30_HUMAN
ENSP00000435373,Q5T5M9,CCNJ_HUMAN
ENSP00000435412,Q15418,KS6A1_HUMAN
ENSP00000435648,Q16099,GRIK4_HUMAN
ENSP00000435835,Q9NZC4,EHF_HUMAN
ENSP00000435954,Q6PIU1,KCNV1_HUMAN
ENSP00000436786,Q03164,KMT2A_HUMAN
ENSP00000437554,Q9UPP2,IQEC3_HUMAN
ENSP00000437849,Q7Z4N2,TRPM1_HUMAN
ENSP00000438264,A6NDA9,LRIT2_HUMAN
ENSP00000440689,P05181,CP2E1_HUMAN
ENSP00000441065,P53985,MOT1_HUMAN
ENSP00000441214,Q9P275,UBP36_HUMAN
ENSP00000442047,F5H8B4,F5H8B4_HUMAN
ENSP00000442656,P36896,ACV1B_HUMAN
ENSP00000442973,O43293,DAPK3_HUMAN
ENSP00000444293,Q9BY66,KDM5D_HUMAN
ENSP00000444688,P13637,AT1A3_HUMAN
ENSP00000445595,Q96KK3,KCNS1_HUMAN
ENSP00000446917,Q8NEU8,DP13B_HUMAN
ENSP00000447297,P36897,TGFR1_HUMAN
ENSP00000448071,O60669,MOT2_HUMAN
ENSP00000448580,Q8N5J4,SPIC_HUMAN
ENSP00000449002,B2RN74,O11HC_HUMAN
ENSP00000449079,Q96NR8,RDH12_HUMAN
ENSP00000449253,Q96PR1,KCNC2_HUMAN
ENSP00000450540,P01011,AACT_HUMAN
ENSP00000450554,H0YIZ8,H0YIZ8_HUMAN
ENSP00000451172,P29622,KAIN_HUMAN
ENSP00000451263,P80192,M3K9_HUMAN
ENSP00000451406,O14756,H17B6_HUMAN
ENSP00000451560,A0A0B4J269,A0A0B4J269_HUMAN
ENSP00000453302,P78325,ADAM8_HUMAN
ENSP00000456242,Q6DHV7,ADAL_HUMAN
ENSP00000457411,Q14694,UBP10_HUMAN
ENSP00000458162,P63261,ACTG_HUMAN
ENSP00000458585,P39900,MMP12_HUMAN
ENSP00000463051,Q9UK05,GDF2_HUMAN
ENSP00000463978,O15427,MOT4_HUMAN
ENSP00000465734,P36021,MOT8_HUMAN
ENSP00000465992,Q86Y91,KI18B_HUMAN
ENSP00000466477,Q9BXA6,TSSK6_HUMAN
ENSP00000466680,P52198,RND2_HUMAN
ENSP00000468348,P52564,MP2K6_HUMAN
ENSP00000468389,K7ERS5,K7ERS5_HUMAN
ENSP00000468411,Q9NZ42,PEN2_HUMAN
ENSP00000470087,M0QYV0,M0QYV0_HUMAN
ENSP00000470152,Q9Y4J8,DTNA_HUMAN
ENSP00000471921,Q01892,SPIB_HUMAN
ENSP00000473233,M0R3H8,M0R3H8_HUMAN
ENSP00000473853,Q9H239,MMP28_HUMAN
ENSP00000473990,P43353,AL3B1_HUMAN
ENSP00000474230,Q96S79,RSLAB_HUMAN
ENSP00000474253,Q9UPS6,SET1B_HUMAN
ENSP00000474385,Q9UKJ8,ADA21_HUMAN
ENSP00000474621,A6NKX4,S22AV_HUMAN
ENSP00000476252,U3KQV3,U3KQV3_HUMAN
ENSP00000476312,Q7RTS1,BHA15_HUMAN
ENSP00000476630,V9GYD0,V9GYD0_HUMAN
ENSP00000477455,Q13224,NMDE2_HUMAN
ENSP00000478255,P08183,MDR1_HUMAN
ENSP00000478257,Q6ZMN8,CCNI2_HUMAN
ENSP00000479735,A0A087WVW6,A0A087WVW6_HUMAN
ENSP00000479844,Q8TDF6,GRP4_HUMAN
ENSP00000480301,Q6DN90,IQEC1_HUMAN
ENSP00000480439,O75911,DHRS3_HUMAN
ENSP00000480998,A0A087WXG3,A0A087WXG3_HUMAN
ENSP00000481554,P42263,GRIA3_HUMAN
ENSP00000481699,O75830,SPI2_HUMAN
ENSP00000481850,Q92613,JADE3_HUMAN
ENSP00000481956,Q96BA8,CR3L1_HUMAN
ENSP00000481994,F8WCM8,F8WCM8_HUMAN
ENSP00000482063,P35227,PCGF2_HUMAN
ENSP00000482287,Q99679,GPR21_HUMAN
ENSP00000482287,H9NIL4,H9NIL4_HUMAN
ENSP00000482657,Q99558,M3K14_HUMAN
ENSP00000482841,P29373,RABP2_HUMAN
ENSP00000483059,P49116,NR2C2_HUMAN
ENSP00000483243,A0A087X0B3,A0A087X0B3_HUMAN
ENSP00000484261,P0C5Y9,H2AB1_HUMAN
ENSP00000484343,A0A087X1N8,A0A087X1N8_HUMAN
ENSP00000484862,Q9UKF5,ADA29_HUMAN
ENSP00000485243,A6NCW7,U17L4_HUMAN
ENSP00000485306,P0C7I0,U17L8_HUMAN
ENSP00000485323,A6NCW0,U17L3_HUMAN
ENSP00000485337,P0C7H9,U17L7_HUMAN
ENSP00000485364,Q7RTZ2,U17L1_HUMAN
ENSP00000485532,A0A096LPD5,A0A096LPD5_HUMAN
ENSP00000485582,,
ENSP00000485609,Q8NGY0,O10X1_HUMAN
ENSP00000486888,A0A0U1RQB8,A0A0U1RQB8_HUMAN
ENSP00000487365,Q92598,HS105_HUMAN
ENSP00000487444,A0A0D9SGF6,A0A0D9SGF6_HUMAN
ENSP00000489311,A0A0U1RR32,A0A0U1RR32_HUMAN
ENSP00000490163,A0A1B0GUL7,A0A1B0GUL7_HUMAN
ENSP00000490174,P0DQD5,NPY42_HUMAN
ENSP00000491279,A0A1W2PPD8,A0A1W2PPD8_HUMAN
ENSP00000491574,A0A1W2PQ73,ERFL_HUMAN
ENSP00000492671,A0A1W2PS79,A0A1W2PS79_HUMAN
ENSP00000492923,Q8NH07,O11H2_HUMAN
ENSP00000493151,Q8NGU2,OR9A4_HUMAN
ENSP00000493255,Q8NH87,OR9G1_HUMAN
ENSP00000493691,A0A2R8Y471,A0A2R8Y471_HUMAN
ENSP00000493971,A0A2R8Y4E6,A0A2R8Y4E6_HUMAN
ENSP00000494136,P30531,SC6A1_HUMAN
ENSP00000494544,Q13627,DYR1A_HUMAN
ENSP00000494664,P19367,HXK1_HUMAN
ENSP00000494711,A0A2R8YEY8,A0A2R8YEY8_HUMAN
ENSP00000495360,P35222,CTNB1_HUMAN
ENSP00000495726,Q5JU85,IQEC2_HUMAN
ENSP00000495860,Q96QT4,TRPM7_HUMAN
ENSP00000496150,P10635,CP2D6_HUMAN
ENSP00000496355,A0A2R8Y7Z4,A0A2R8Y7Z4_HUMAN
ENSP00000497069,P08069,IGF1R_HUMAN
ENSP00000497083,A0A3B3IS24,A0A3B3IS24_HUMAN
ENSP00000497406,Q9Y6X0,SETBP_HUMAN
ENSP00000497527,Q9Y2H2,SAC2_HUMAN
ENSP00000497733,P60953,CDC42_HUMAN
ENSP00000497931,O95342,ABCBB_HUMAN
ENSP00000498087,A0A3B3IU63,H2AL3_HUMAN
ENSP00000498126,A0A3B3ITZ1,A0A3B3ITZ1_HUMAN
ENSP00000498864,Q15120,PDK3_HUMAN
ENSP00000500374,Q5VW22,AGAP6_HUMAN
ENSP00000501146,Q14541,HNF4G_HUMAN
ENSP00000502821,P60709,ACTB_HUMAN
,,
ENSP00000345689,P51148,RAB5C_HUMAN
ENSP00000468367,K7ERQ8,K7ERQ8_HUMAN
ENSP00000502399,Q9BPW9,DHRS9_HUMAN
ENSP00000318631,O14756,H17B6_HUMAN
ENSP00000316786,P80365,DHI2_HUMAN
ENSP00000199936,P37059,DHB2_HUMAN
ENSP00000240285,Q8IZV5,RDH10_HUMAN
ENSP00000411565,A0PJE2,DHR12_HUMAN
ENSP00000411565,A0A8C8L8Z5,A0A8C8L8Z5_HUMAN
ENSP00000381206,O75452,RDH16_HUMAN
ENSP00000364412,P37058,DHB3_HUMAN
ENSP00000351035,Q8NBQ5,DHB11_HUMAN
ENSP00000370750,Q8TC12,RDH11_HUMAN
ENSP00000450554,H0YIZ8,H0YIZ8_HUMAN
ENSP00000254521,P56937,DHB7_HUMAN
ENSP00000480439,O75911,DHRS3_HUMAN
ENSP00000376184,Q02338,BDH_HUMAN
ENSP00000293502,Q8NEX9,DR9C7_HUMAN
ENSP00000278353,Q53GQ0,DHB12_HUMAN
ENSP00000449079,Q96NR8,RDH12_HUMAN
ENSP00000257895,Q92781,RDH5_HUMAN
ENSP00000233710,P28330,ACADL_HUMAN
ENSP00000307697,Q99424,ACOX2_HUMAN
ENSP00000293217,Q15067,ACOX1_HUMAN
ENSP00000419692,P19793,RXRA_HUMAN
ENSP00000388387,P49116,NR2C2_HUMAN
ENSP00000291442,P10588,NR2F6_HUMAN
